,openefm.csv,jgnash.csv,yarp0.csv,mp-rechnungs-und-kundenverwaltung.csv,ingex.csv,ambulant.csv
ambulant.csv,0.88,0.65,0.32,0.58,0.52,0.0
ingex.csv,0.03,0.12,0.05,0.41,0.0,0.14
jgnash.csv,0.06,0.0,0.05,0.28,0.0,0.11
mp-rechnungs-und-kundenverwaltung.csv,0.04,0.17,0.16,0.01,0.3,0.33
openefm.csv,0.0,0.39,0.34,0.51,0.18,0.18
yarp0.csv,0.52,0.54,0.0,0.48,0.28,0.15
