,nova.csv,crisscross.csv,mb-unit.csv,ivatamasks.csv,ivataopenportal.csv,kolmafia.csv,olex2.csv
crisscross.csv,0.23,0.43,0.85,0.84,0.53,0.54,0.47
ivatamasks.csv,0.23,0.19,0.86,0.88,0.55,0.56,0.46
ivataopenportal.csv,0.23,0.21,0.87,0.71,0.72,0.56,0.46
kolmafia.csv,0.23,0.22,0.87,0.69,0.54,0.77,0.48
mb-unit.csv,0.4,0.16,0.9,0.68,0.53,0.55,0.56
nova.csv,0.5,0.2,0.87,0.66,0.49,0.58,0.46
olex2.csv,0.33,0.22,0.89,0.68,0.5,0.55,0.69
