,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,tigermud.csv
algebsql.csv,0.72,0.75,0.43,0.3,0.81,0.73,0.09,0.99,0.66,0.02,0.97,0.0,0.05
ivef-sdk.csv,0.74,0.25,0.51,0.7,0.64,0.0,0.63,0.0,0.79,0.74,0.07,1.0,0.05
jmri.csv,0.1,0.08,0.32,0.4,0.43,0.03,0.57,0.11,0.16,0.4,0.24,0.33,0.05
jython.csv,0.79,0.67,0.22,0.9,0.85,0.9,0.97,0.14,0.55,0.26,0.81,0.33,0.48
kdenlive.csv,0.33,0.58,0.4,0.85,0.51,0.83,0.37,0.99,0.71,0.42,0.78,0.33,0.38
opentibia.csv,0.33,0.25,0.31,0.25,0.43,0.03,0.83,0.17,0.01,0.05,0.39,0.0,0.95
projectfactory.csv,0.21,0.08,0.42,0.15,0.53,0.07,0.49,0.23,0.36,0.4,0.54,0.5,0.57
runuomondains.csv,0.1,0.08,0.33,0.35,0.42,0.9,0.57,0.2,0.14,0.47,0.2,0.0,0.19
somap.csv,0.95,0.92,0.77,0.85,0.83,1.0,0.83,1.0,1.0,0.81,0.93,0.0,1.0
taverna.csv,0.03,0.17,0.11,0.35,0.26,0.13,0.54,0.01,0.07,0.6,0.0,0.0,0.1
tigermud.csv,0.56,0.58,0.79,0.15,0.43,0.03,0.29,0.7,0.04,0.16,0.31,0.0,0.38
unbvision.csv,0.38,0.17,0.29,0.7,0.45,1.0,0.63,0.18,0.28,0.28,0.61,0.17,0.19
x-ray-mule.csv,0.67,0.33,0.43,0.35,0.72,0.0,0.69,0.01,0.95,0.84,0.12,0.83,0.57
