,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,qgis.csv,rsyslog.csv,phonon-vlc-mplayer.csv,fm-classic.csv,rtrt-on-gpu.csv,unflobtactical.csv,multitude.csv,loki-lib.csv,cortex-vfx.csv,chaosrts.csv,biopax.csv,metacosm.csv,ng4j.csv
biopax.csv,1.0,0.95,0.71,0.8,0.75,0.67,0.6,0.87,0.56,0.73,0.63,0.35,1.0,0.89,0.0,0.94,0.76
chaosrts.csv,0.21,0.45,0.31,0.82,0.93,1.0,0.83,0.94,1.0,0.96,0.95,1.0,0.97,0.11,0.65,1.0,0.63
cortex-vfx.csv,0.14,0.17,0.16,0.28,0.15,0.21,0.21,0.28,0.21,0.27,0.1,0.17,0.01,0.21,0.05,0.16,0.14
fm-classic.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02
fritzing.csv,0.79,0.41,0.0,0.39,0.16,0.38,0.27,0.59,0.08,0.46,0.32,0.11,0.21,0.37,0.05,0.55,0.25
jlinalg.csv,0.0,0.38,0.79,0.82,0.8,0.83,0.92,0.49,0.94,0.88,0.78,0.78,0.89,0.84,0.6,0.97,0.81
loki-lib.csv,0.14,0.27,0.23,0.27,0.32,0.58,0.28,0.69,0.4,0.42,0.27,0.02,0.36,0.42,0.35,0.23,0.34
metacosm.csv,0.14,0.07,0.19,0.13,0.16,0.08,0.11,0.34,0.1,0.23,0.07,0.15,0.34,0.37,0.15,0.0,0.08
multitude.csv,0.14,0.38,0.3,0.66,0.32,0.33,0.36,0.51,0.5,0.58,0.0,0.2,0.6,0.47,0.05,0.48,0.44
ng4j.csv,0.79,0.18,0.73,0.39,0.72,0.38,0.17,0.47,0.31,0.08,0.19,0.5,0.54,0.32,0.45,0.58,0.0
phonon-vlc-mplayer.csv,0.29,0.76,0.47,0.53,0.64,0.75,0.01,0.37,0.21,0.58,0.12,0.76,0.45,0.47,0.6,0.65,0.47
playerstage.csv,0.0,0.2,0.26,0.01,0.18,0.29,0.06,0.12,0.12,0.19,0.19,0.24,0.26,0.26,0.0,0.26,0.12
qgis.csv,0.71,0.91,0.42,0.42,0.0,0.33,0.35,0.32,0.15,0.38,0.25,0.35,0.62,0.74,0.4,0.42,0.36
rsyslog.csv,0.14,0.24,0.36,0.58,0.2,0.0,0.35,0.62,0.08,0.42,0.17,0.22,0.34,0.47,0.15,0.29,0.19
rtrt-on-gpu.csv,0.64,0.77,0.47,0.7,0.48,0.54,0.42,0.54,0.0,0.58,0.36,0.5,0.33,0.42,0.6,0.48,0.63
superwaba.csv,0.21,0.01,0.27,0.33,0.32,0.33,0.32,0.51,0.25,0.38,0.34,0.26,0.22,0.42,0.45,0.45,0.22
unflobtactical.csv,0.86,0.16,0.25,0.33,0.25,0.08,0.39,0.54,0.29,0.0,0.25,0.41,0.28,0.47,0.15,0.16,0.19
