,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,qgis.csv,rsyslog.csv,phonon-vlc-mplayer.csv,fm-classic.csv,rtrt-on-gpu.csv,unflobtactical.csv,multitude.csv,loki-lib.csv,cortex-vfx.csv,chaosrts.csv,biopax.csv,metacosm.csv,ng4j.csv
biopax.csv,0.0,16.0,1.0,3.0,1.0,2.0,15.0,24.0,16.0,4.0,0.0,1.0,12.0,3.0,0.0,1.0,14.0
chaosrts.csv,0.0,14.0,5.0,1.0,0.0,4.0,27.0,25.0,3.0,0.0,0.0,4.0,31.0,0.0,5.0,1.0,7.0
cortex-vfx.csv,0.0,2.0,0.0,1.0,0.0,1.0,4.0,2.0,8.0,3.0,2.0,1.0,0.0,0.0,1.0,4.0,1.0
fm-classic.csv,0.0,0.0,148.0,140.0,0.0,49.0,256.0,0.0,57.0,60.0,123.0,74.0,355.0,0.0,90.0,0.0,78.0
fritzing.csv,0.0,8.0,0.0,5.0,0.0,1.0,8.0,19.0,3.0,1.0,7.0,2.0,2.0,1.0,0.0,2.0,3.0
jlinalg.csv,0.0,8.0,0.0,1.0,0.0,4.0,25.0,20.0,2.0,0.0,0.0,4.0,12.0,2.0,2.0,1.0,14.0
loki-lib.csv,0.0,5.0,0.0,3.0,1.0,1.0,1.0,11.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
metacosm.csv,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,4.0,2.0,0.0,23.0,1.0,1.0,0.0,1.0
multitude.csv,0.0,2.0,0.0,1.0,1.0,1.0,0.0,28.0,7.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,3.0
ng4j.csv,0.0,9.0,5.0,4.0,1.0,0.0,5.0,23.0,0.0,60.0,7.0,2.0,5.0,1.0,2.0,1.0,0.0
phonon-vlc-mplayer.csv,1.0,23.0,0.0,8.0,0.0,2.0,0.0,22.0,2.0,0.0,4.0,4.0,6.0,2.0,1.0,1.0,0.0
playerstage.csv,0.0,1.0,1.0,0.0,0.0,4.0,2.0,5.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0
qgis.csv,0.0,25.0,1.0,3.0,0.0,4.0,4.0,13.0,1.0,0.0,3.0,1.0,11.0,4.0,1.0,8.0,5.0
rsyslog.csv,0.0,6.0,0.0,2.0,3.0,0.0,3.0,23.0,0.0,0.0,2.0,2.0,18.0,1.0,0.0,6.0,4.0
rtrt-on-gpu.csv,0.0,23.0,8.0,6.0,0.0,3.0,3.0,28.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0
superwaba.csv,0.0,0.0,0.0,1.0,0.0,4.0,5.0,15.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0
unflobtactical.csv,0.0,0.0,1.0,1.0,0.0,0.0,26.0,31.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,5.0
