,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,qgis.csv,rsyslog.csv,phonon-vlc-mplayer.csv,fm-classic.csv,rtrt-on-gpu.csv,unflobtactical.csv,multitude.csv,loki-lib.csv,cortex-vfx.csv,chaosrts.csv,biopax.csv,metacosm.csv,ng4j.csv
biopax.csv,0.77,0.34,0.56,0.44,0.52,0.56,0.34,0.05,0.13,0.58,0.59,0.53,0.22,0.89,1.0,0.47,0.26
chaosrts.csv,0.91,0.36,0.41,0.45,0.48,0.52,0.3,0.04,0.16,0.58,0.53,0.39,0.21,0.99,0.67,0.47,0.26
cortex-vfx.csv,0.82,0.6,0.72,0.57,0.73,0.67,0.45,0.05,0.17,0.67,0.79,0.43,0.95,0.93,0.94,0.67,0.27
fm-classic.csv,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
fritzing.csv,0.75,0.47,1.0,0.48,0.7,0.68,0.47,0.05,0.2,0.65,0.6,0.58,0.3,0.91,0.98,0.5,0.42
jlinalg.csv,1.0,0.33,0.5,0.4,0.53,0.5,0.28,0.06,0.13,0.55,0.54,0.42,0.24,0.89,0.85,0.44,0.28
loki-lib.csv,0.92,0.51,0.57,0.58,0.51,0.52,0.24,0.06,0.17,0.61,0.58,0.96,0.33,0.92,0.78,0.61,0.31
metacosm.csv,0.92,0.6,0.62,0.69,0.71,0.78,0.63,0.04,0.29,0.6,0.56,0.56,0.22,0.88,0.9,1.0,0.38
multitude.csv,0.91,0.51,0.65,0.44,0.62,0.65,0.34,0.03,0.2,0.64,1.0,0.61,0.24,0.91,0.97,0.55,0.33
ng4j.csv,0.69,0.56,0.48,0.55,0.45,0.67,0.61,0.03,0.21,0.0,0.69,0.47,0.24,0.87,0.81,0.53,1.0
phonon-vlc-mplayer.csv,0.87,0.38,0.61,0.47,0.51,0.51,0.99,0.04,0.23,0.64,0.77,0.36,0.26,0.9,0.78,0.51,0.26
playerstage.csv,1.0,0.61,0.64,0.98,0.69,0.65,0.73,0.11,0.25,0.78,0.62,0.42,0.34,0.91,1.0,0.6,0.53
qgis.csv,0.75,0.34,0.61,0.49,1.0,0.65,0.39,0.04,0.3,0.67,0.66,0.43,0.24,0.86,0.78,0.52,0.36
rsyslog.csv,0.92,0.6,0.62,0.48,0.69,1.0,0.34,0.05,0.33,0.59,0.76,0.6,0.25,0.88,0.79,0.67,0.31
rtrt-on-gpu.csv,0.7,0.3,0.45,0.38,0.52,0.52,0.27,0.03,1.0,0.44,0.52,0.39,0.34,0.85,0.68,0.59,0.18
superwaba.csv,0.87,0.98,0.68,0.55,0.66,0.6,0.44,0.08,0.2,0.69,0.64,0.52,0.38,0.9,0.8,0.52,0.38
unflobtactical.csv,0.68,0.53,0.64,0.56,0.63,0.85,0.26,0.03,0.12,1.0,0.67,0.34,0.36,0.89,0.89,0.75,0.45
