,scen-connect.csv,bwapi.csv,ontopia.csv,smartgwt.csv,adobe-source.csv,lite.csv,gisgraphy.csv
adobe-source.csv,1.03,0.93,0.71,1.03,0.1,0.72,0.63
bwapi.csv,0.33,0.0,1.01,0.33,0.71,0.62,0.91
gisgraphy.csv,1.24,0.91,0.76,0.75,0.86,0.83,0.0
lite.csv,0.05,0.96,0.98,0.69,0.84,0.0,0.88
ontopia.csv,1.0,0.82,0.0,0.86,0.75,0.43,0.92
smartgwt.csv,1.0,0.95,0.92,0.04,0.81,0.5,0.92
