,pf
moast.csv,0.0
chrysalis.csv,0.01
cortex-vfx.csv,0.03
l2j.csv,0.04
geogebra.csv,0.06
ffigo.csv,0.0
autowikibrowser.csv,0.06
duplicati.csv,0.0
gstreamer.csv,0.1
quantlib.csv,0.02
skia.csv,0.13
jruby.csv,0.0
chaosrts.csv,0.05
mplayer-ce.csv,0.25
biopax.csv,0.0
linux-ntfs.csv,0.07
growl-for-windows.csv,0.06
synecdoche.csv,0.12
rcp-company-uibindings.csv,0.0
tweetsharp.csv,0.07
elateportal.csv,0.0
sandiaportals.csv,0.0
biodwh.csv,0.0
trinitycore.csv,0.08
zemljanka.csv,0.0
tango-cs.csv,0.23
buddata-ebxml-registry.csv,0.0
javaprofiler.csv,0.03
fluent-nhibernate.csv,0.06
olex2.csv,0.01
nunit.csv,0.02
tencompetence.csv,0.01
exl.csv,0.0
nativeclient.csv,0.0
codesmith.csv,0.0
stajistics.csv,0.0
oorexx.csv,0.36
crux-framework.csv,0.06
ta3d.csv,0.19
web-cat.csv,0.45
ftm.csv,0.0
factor.csv,0.04
hydrate.csv,0.0
jfreechart.csv,0.26
elvishrayrenderer.csv,0.17
xamj.csv,0.0
uwom.csv,0.01
rocrail.csv,0.04
columba.csv,0.02
metacosm.csv,0.0
quickfast.csv,0.03
geochat.csv,0.0
natpad.csv,0.05
libarchive.csv,0.04
jcache.csv,0.0
zxing.csv,0.0
arm-webradio.csv,0.2
genoviz.csv,0.04
fulguro.csv,0.03
wikipediardware.csv,0.0
rockbox.csv,0.0
ng4j.csv,0.0
uface.csv,0.0
gisgraphy.csv,0.23
emono.csv,0.02
thedata.csv,0.05
miranda.csv,0.12
cme.csv,0.27
jmule.csv,0.0
