,f1
moast.csv,0.0
chrysalis.csv,0.0
cortex-vfx.csv,0.13
l2j.csv,0.05
geogebra.csv,0.27
ffigo.csv,0.27
autowikibrowser.csv,0.32
duplicati.csv,0.13
gstreamer.csv,0.37
quantlib.csv,0.0
skia.csv,0.39
jruby.csv,0.12
chaosrts.csv,0.16
mplayer-ce.csv,0.38
biopax.csv,0.08
linux-ntfs.csv,0.44
growl-for-windows.csv,0.15
synecdoche.csv,0.3
rcp-company-uibindings.csv,0.04
tweetsharp.csv,0.09
elateportal.csv,0.09
sandiaportals.csv,0.11
biodwh.csv,0.15
trinitycore.csv,0.25
zemljanka.csv,0.28
tango-cs.csv,0.33
buddata-ebxml-registry.csv,0.0
javaprofiler.csv,0.19
fluent-nhibernate.csv,0.26
olex2.csv,0.21
nunit.csv,0.17
tencompetence.csv,0.08
exl.csv,0.05
nativeclient.csv,0.0
codesmith.csv,0.0
stajistics.csv,0.12
oorexx.csv,0.33
crux-framework.csv,0.2
ta3d.csv,0.35
web-cat.csv,0.22
ftm.csv,0.03
factor.csv,0.05
hydrate.csv,0.11
jfreechart.csv,0.0
elvishrayrenderer.csv,0.46
xamj.csv,0.23
uwom.csv,0.32
rocrail.csv,0.33
columba.csv,0.1
metacosm.csv,0.07
quickfast.csv,0.19
geochat.csv,0.06
natpad.csv,0.36
libarchive.csv,0.54
jcache.csv,0.49
zxing.csv,0.38
arm-webradio.csv,0.0
genoviz.csv,0.44
fulguro.csv,0.14
wikipediardware.csv,0.1
rockbox.csv,0.19
ng4j.csv,0.1
uface.csv,0.0
gisgraphy.csv,0.22
emono.csv,0.02
thedata.csv,0.25
miranda.csv,0.36
cme.csv,0.35
jmule.csv,0.0
