,g-score
moast.csv,0.0
chrysalis.csv,0.0
cortex-vfx.csv,0.1
l2j.csv,0.04
geogebra.csv,0.23
ffigo.csv,0.19
autowikibrowser.csv,0.24
duplicati.csv,0.09
gstreamer.csv,0.28
quantlib.csv,0.0
skia.csv,0.35
jruby.csv,0.07
chaosrts.csv,0.11
mplayer-ce.csv,0.35
biopax.csv,0.05
linux-ntfs.csv,0.36
growl-for-windows.csv,0.1
synecdoche.csv,0.25
rcp-company-uibindings.csv,0.02
tweetsharp.csv,0.06
elateportal.csv,0.06
sandiaportals.csv,0.07
biodwh.csv,0.1
trinitycore.csv,0.21
zemljanka.csv,0.19
tango-cs.csv,0.31
buddata-ebxml-registry.csv,0.0
javaprofiler.csv,0.13
fluent-nhibernate.csv,0.28
olex2.csv,0.15
nunit.csv,0.12
tencompetence.csv,0.05
exl.csv,0.02
nativeclient.csv,0.0
codesmith.csv,0.0
stajistics.csv,0.09
oorexx.csv,0.28
crux-framework.csv,0.38
ta3d.csv,0.27
web-cat.csv,0.24
ftm.csv,0.02
factor.csv,0.02
hydrate.csv,0.07
jfreechart.csv,0.0
elvishrayrenderer.csv,0.36
xamj.csv,0.16
uwom.csv,0.23
rocrail.csv,0.27
columba.csv,0.06
metacosm.csv,0.05
quickfast.csv,0.13
geochat.csv,0.04
natpad.csv,0.27
libarchive.csv,0.44
jcache.csv,0.37
zxing.csv,0.27
arm-webradio.csv,0.0
genoviz.csv,0.45
fulguro.csv,0.11
wikipediardware.csv,0.06
rockbox.csv,0.13
ng4j.csv,0.06
uface.csv,0.0
gisgraphy.csv,0.21
emono.csv,0.01
thedata.csv,0.29
miranda.csv,0.27
cme.csv,0.78
jmule.csv,0.0
