,d2h
moast.csv,1.0
chrysalis.csv,1.0
cortex-vfx.csv,0.92
l2j.csv,0.98
geogebra.csv,0.81
ffigo.csv,0.84
autowikibrowser.csv,0.8
duplicati.csv,0.93
gstreamer.csv,0.76
quantlib.csv,1.0
skia.csv,0.71
jruby.csv,0.94
chaosrts.csv,0.92
mplayer-ce.csv,0.73
biopax.csv,0.96
linux-ntfs.csv,0.7
growl-for-windows.csv,0.92
synecdoche.csv,0.8
rcp-company-uibindings.csv,0.98
tweetsharp.csv,0.95
elateportal.csv,0.95
sandiaportals.csv,0.94
biodwh.csv,0.92
trinitycore.csv,0.82
zemljanka.csv,0.84
tango-cs.csv,0.77
buddata-ebxml-registry.csv,1.0
javaprofiler.csv,0.89
fluent-nhibernate.csv,0.77
olex2.csv,0.88
nunit.csv,0.9
tencompetence.csv,0.96
exl.csv,0.98
nativeclient.csv,1.0
codesmith.csv,1.0
stajistics.csv,0.93
oorexx.csv,0.83
crux-framework.csv,0.67
ta3d.csv,0.79
web-cat.csv,0.91
ftm.csv,0.98
factor.csv,0.98
hydrate.csv,0.94
jfreechart.csv,1.03
elvishrayrenderer.csv,0.7
xamj.csv,0.87
uwom.csv,0.81
rocrail.csv,0.77
columba.csv,0.95
metacosm.csv,0.96
quickfast.csv,0.89
geochat.csv,0.97
natpad.csv,0.77
libarchive.csv,0.61
jcache.csv,0.68
zxing.csv,0.77
arm-webradio.csv,1.02
genoviz.csv,0.6
fulguro.csv,0.91
wikipediardware.csv,0.95
rockbox.csv,0.89
ng4j.csv,0.95
uface.csv,1.0
gisgraphy.csv,0.85
emono.csv,0.99
thedata.csv,0.75
miranda.csv,0.78
cme.csv,0.34
jmule.csv,1.0
