,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv
array4j.csv,0.94,0.32,0.38,0.21,0.0,0.17,0.33,0.23,0.0,0.45,0.5,0.21,0.5
e-bio-flow.csv,0.19,0.77,0.46,0.1,0.0,0.13,0.39,0.93,0.0,0.27,0.25,0.46,0.0
jas.csv,0.06,0.23,0.0,0.06,0.0,0.09,0.0,0.13,0.6,0.18,0.12,0.04,1.0
jbpm.csv,0.06,0.36,0.0,0.98,0.0,0.26,0.28,0.23,0.0,0.09,0.25,0.04,0.5
jgossipforum.csv,0.06,0.0,0.0,0.02,0.33,0.0,0.0,0.07,1.0,0.09,0.0,0.19,0.0
jmonkeyengine.csv,0.38,0.77,0.46,0.62,0.67,0.83,0.89,0.23,0.4,0.18,0.5,0.74,0.25
joustsim.csv,0.12,0.14,0.15,0.15,0.0,0.3,0.39,0.2,0.6,0.91,0.38,0.58,0.38
log4net.csv,0.0,0.0,0.08,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ngl.csv,0.38,0.59,0.85,0.73,0.67,0.52,0.5,0.7,1.0,0.55,0.62,0.99,0.62
piccolo2d.csv,0.12,0.05,1.0,0.1,0.0,0.0,0.17,0.07,0.0,0.0,0.0,0.0,0.12
pustefix.csv,0.31,0.59,0.23,0.44,0.67,0.96,0.44,0.53,0.8,0.0,0.0,0.2,0.62
reaper3d.csv,0.38,0.41,0.31,0.25,0.67,0.04,0.17,0.27,0.2,0.0,0.75,0.0,0.5
sblim.csv,0.31,1.0,0.31,0.12,0.0,0.13,0.28,0.43,0.0,0.09,0.0,0.03,0.0
