,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv
array4j.csv,1.0,0.21,0.13,0.08,0.0,0.2,0.17,0.39,0.0,0.25,0.13,0.38,0.11
e-bio-flow.csv,0.15,0.39,0.19,0.05,0.0,0.43,0.58,1.0,0.0,0.3,0.06,0.65,0.0
jas.csv,0.25,0.5,0.0,0.3,0.0,0.4,0.0,0.44,0.13,0.67,0.5,0.8,1.0
jbpm.csv,0.14,0.27,0.0,1.0,0.0,0.43,0.56,0.44,0.0,0.14,0.1,0.57,0.21
jgossipforum.csv,0.06,0.0,0.0,0.14,0.12,0.0,0.0,0.29,0.83,1.0,0.0,0.9,0.0
jmonkeyengine.csv,0.14,0.39,0.15,0.21,0.02,0.35,1.0,0.35,0.02,0.18,0.06,0.56,0.09
joustsim.csv,0.09,0.23,0.29,0.17,0.0,0.32,0.35,0.46,0.1,1.0,0.1,0.66,0.3
log4net.csv,0.0,0.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ngl.csv,0.14,0.21,0.22,0.19,0.02,0.31,0.31,0.39,0.07,0.2,0.11,0.98,0.11
piccolo2d.csv,0.25,1.0,1.0,0.21,0.0,0.0,0.75,0.33,0.0,0.0,0.0,0.0,0.08
pustefix.csv,0.16,0.3,0.08,0.14,0.03,1.0,0.24,0.5,0.03,0.0,0.0,0.63,0.08
reaper3d.csv,0.2,0.22,0.11,0.08,0.03,0.25,0.27,0.47,0.01,0.0,1.0,0.0,0.08
sblim.csv,0.38,0.96,0.31,0.18,0.0,0.43,0.56,0.65,0.0,0.25,0.0,1.0,0.0
