,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.23,0.69,0.39,0.46,0.61,0.12,0.0,0.52,0.41,0.59,0.09,0.57
freedom-erp.csv,0.68,0.22,0.39,0.0,0.25,0.13,0.72,0.0,0.07,0.2,0.49,0.01
javaprofiler.csv,0.56,0.48,0.45,0.69,0.49,0.56,0.0,0.28,0.57,0.37,0.53,0.66
jmoney.csv,0.86,0.72,0.73,0.49,0.45,0.41,0.49,0.62,0.57,0.38,0.56,0.31
jsidplay2.csv,0.74,0.22,0.77,0.23,0.35,0.27,0.27,0.14,0.61,0.62,0.28,0.39
reaper3d.csv,0.56,0.48,0.62,0.39,0.42,0.11,0.61,0.82,0.42,0.29,0.46,0.31
servicestack.csv,0.06,0.09,0.02,0.12,0.21,0.06,0.01,0.29,0.76,0.13,0.04,0.09
springside.csv,0.61,0.53,0.51,0.77,0.42,0.44,0.53,0.57,0.69,0.26,0.57,0.23
swtfox.csv,0.28,0.6,0.35,0.44,0.65,0.32,0.24,0.4,0.07,0.42,0.5,0.58
synecdoche.csv,0.7,0.55,0.76,0.26,0.5,0.57,0.72,0.63,0.47,0.59,0.68,0.36
tmva.csv,0.63,0.52,0.46,0.72,0.2,0.75,0.0,0.6,0.0,0.52,0.76,0.34
wsmt.csv,0.29,0.26,0.06,0.26,0.12,0.05,0.04,0.0,0.49,0.8,0.04,0.58
