,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.22,0.24,0.7,0.49,0.43,0.12,0.0,0.37,0.59,0.73,0.26,0.61
freedom-erp.csv,0.15,0.22,0.05,0.0,0.46,0.1,0.34,0.0,0.02,0.37,0.77,0.0
javaprofiler.csv,0.63,0.69,0.35,0.6,0.49,0.57,1.0,0.38,0.15,0.47,0.7,0.17
jmoney.csv,0.12,0.55,0.35,0.27,0.57,0.4,0.26,0.4,0.15,0.87,0.53,0.14
jsidplay2.csv,0.44,0.33,0.25,0.24,0.88,0.07,0.93,0.21,0.61,0.5,0.09,0.69
reaper3d.csv,0.39,0.29,0.55,0.28,0.32,0.13,0.69,0.37,0.52,0.5,0.81,0.22
servicestack.csv,0.07,0.0,0.0,0.04,0.06,0.05,0.03,0.07,0.22,0.1,0.02,0.0
springside.csv,0.37,0.8,0.4,0.26,0.57,0.33,0.4,0.76,0.5,0.5,0.67,0.08
swtfox.csv,0.49,0.33,0.4,0.71,0.2,0.35,0.27,0.46,0.3,0.47,0.58,0.5
synecdoche.csv,0.44,0.71,0.3,0.18,0.78,0.28,0.64,0.33,0.67,0.73,0.21,0.28
tmva.csv,0.71,0.59,0.85,0.58,0.95,0.28,1.0,0.47,1.0,0.77,0.49,0.89
wsmt.csv,0.2,0.12,0.05,0.26,0.09,0.05,0.03,0.01,0.78,0.2,0.07,0.44
