,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.31,0.6,0.64,0.32,0.47,0.7,0.0,0.1,0.21,0.57,0.15,0.69
freedom-erp.csv,0.68,0.31,0.95,0.0,0.23,0.75,0.75,0.0,0.5,0.35,0.38,1.0
javaprofiler.csv,0.33,0.3,0.78,0.41,0.37,0.74,0.58,0.05,0.56,0.46,0.39,0.89
jmoney.csv,0.77,0.45,0.86,0.46,0.33,0.72,0.71,0.11,0.56,0.5,0.42,0.8
jsidplay2.csv,0.47,0.23,0.9,0.3,0.32,0.91,0.6,0.05,0.3,0.61,0.64,0.55
reaper3d.csv,0.41,0.44,0.78,0.39,0.42,0.65,0.62,0.16,0.23,0.38,0.38,0.71
servicestack.csv,0.25,1.0,1.0,0.56,0.64,0.73,0.33,0.22,0.57,0.57,0.5,1.0
springside.csv,0.44,0.37,0.78,0.6,0.31,0.77,0.64,0.08,0.36,0.35,0.41,0.82
swtfox.csv,0.2,0.48,0.7,0.27,0.66,0.69,0.51,0.06,0.07,0.5,0.38,0.71
synecdoche.csv,0.45,0.35,0.88,0.39,0.36,0.84,0.67,0.13,0.22,0.57,0.68,0.71
tmva.csv,0.38,0.33,0.76,0.43,0.32,0.88,0.58,0.1,0.26,0.54,0.54,0.63
wsmt.csv,0.38,0.5,0.75,0.31,0.4,0.67,0.6,0.0,0.25,0.82,0.25,0.73
