,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,nativeclient.csv,libarchive.csv
acdk.csv,0.13,0.02,0.05,0.03,0.0,0.29,0.28,0.2,0.28,0.02,0.19,0.11,0.23,0.08,0.31,0.0,0.48,0.11,0.07,0.18
amygdala.csv,0.5,0.0,0.27,0.03,0.0,0.14,0.14,0.6,0.18,0.71,0.32,0.37,0.1,0.37,0.15,0.7,0.72,0.06,0.01,0.0
awemud.csv,0.4,0.18,0.2,0.69,0.33,0.05,0.39,0.5,0.16,0.0,0.69,0.26,0.22,0.55,0.35,0.2,0.62,0.17,0.04,0.24
bullet.csv,0.6,0.47,0.73,0.06,0.06,0.33,0.41,0.44,0.14,0.1,0.41,0.6,0.68,0.53,0.31,0.7,0.38,0.44,0.25,0.15
customwars.csv,0.23,0.07,0.3,0.0,0.06,0.33,0.15,0.4,0.21,0.0,0.29,0.17,0.19,0.27,0.81,0.1,0.17,0.28,0.08,0.07
dvd-create.csv,0.43,0.73,0.52,0.94,0.11,0.33,0.88,0.52,0.61,0.0,0.84,0.43,0.84,0.57,0.5,0.85,0.79,0.94,0.41,0.49
gbif-indexingtoolkit.csv,0.7,0.62,0.57,0.99,0.83,0.57,0.67,0.22,0.78,0.0,0.69,0.66,0.56,0.33,0.38,1.0,0.62,0.56,0.82,0.9
go.csv,0.67,0.24,0.27,0.72,0.44,0.43,0.45,0.78,0.47,0.0,0.86,0.6,0.39,0.45,0.69,0.5,0.76,0.17,0.38,0.49
growl-for-windows.csv,0.27,0.0,0.27,0.0,0.0,0.0,0.52,0.64,0.0,0.0,0.93,0.6,0.0,0.04,0.58,0.75,0.0,0.11,0.0,0.0
gss.csv,0.67,0.84,0.77,0.1,0.39,0.76,0.33,0.7,0.45,0.0,0.83,0.6,0.58,0.75,0.96,0.25,0.52,0.83,0.42,0.5
kwave.csv,0.5,1.0,0.25,1.0,0.89,0.43,0.57,0.68,0.52,0.0,0.86,0.66,0.81,0.75,0.85,0.3,0.48,0.83,0.78,0.9
libarchive.csv,0.47,0.42,0.5,0.02,0.33,0.62,0.73,0.92,0.39,1.0,0.8,0.54,0.43,0.9,0.96,0.35,0.79,0.5,0.44,0.28
linux-ntfs.csv,0.4,0.53,0.68,0.18,0.33,0.43,0.38,0.42,0.05,0.22,0.69,0.54,0.6,0.59,0.73,0.65,0.48,0.94,0.43,0.34
lsb.csv,0.37,0.71,0.84,0.08,0.94,0.52,0.19,0.34,0.22,0.0,0.89,0.8,0.08,0.47,0.69,0.95,0.69,0.56,0.49,0.37
mpgravity.csv,0.8,0.38,0.64,0.91,0.83,0.71,0.93,0.9,0.0,0.12,1.0,0.89,0.0,0.76,0.81,1.0,0.93,0.72,0.51,0.82
nativeclient.csv,0.57,0.18,0.23,0.53,0.11,0.19,0.54,0.62,0.51,0.37,0.48,0.49,0.37,0.33,0.62,0.35,0.72,0.33,0.27,0.49
qcad2.csv,0.3,0.11,0.14,0.04,0.0,0.24,0.34,0.48,0.24,0.41,0.35,0.17,0.11,0.41,0.5,0.25,0.69,0.22,0.43,0.25
qtwin.csv,0.07,0.0,0.02,0.0,0.0,0.14,0.03,0.42,0.09,0.12,0.34,0.03,0.11,0.2,0.27,0.05,0.21,0.06,0.03,0.0
roller.csv,0.63,0.98,0.71,1.0,1.0,0.76,0.82,0.62,0.87,0.44,0.72,0.8,0.88,0.27,0.73,0.7,1.0,0.72,0.9,1.0
xinity.csv,0.7,1.0,0.25,1.0,0.94,0.48,0.69,0.46,0.68,1.0,0.19,0.43,0.92,0.43,0.46,0.8,0.9,0.78,0.97,0.99
