,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.25,0.93,0.64,0.27,0.57,0.18,0.22,0.19,0.33,0.0,0.2,0.03
ctrlr.csv,0.14,0.0,0.36,0.11,0.08,0.05,0.0,0.16,0.0,0.17,0.07,0.1
dvt.csv,0.23,0.38,0.49,0.01,0.22,0.18,0.15,0.08,0.83,0.19,0.08,0.83
flylinkdc.csv,0.0,0.01,0.0,0.21,0.24,0.17,0.2,0.41,0.33,0.22,0.18,0.03
free-evolution.csv,0.19,0.13,0.36,0.69,0.49,0.09,0.32,0.27,0.33,0.1,0.0,0.0
fw4spl.csv,0.25,0.01,0.21,0.61,0.7,0.0,0.59,0.49,0.5,0.18,0.06,0.1
ipfire-wall.csv,0.15,0.27,0.18,0.22,0.19,0.24,0.24,0.03,0.0,0.12,0.11,0.23
ldview.csv,0.38,0.38,0.21,0.73,0.0,0.45,0.27,0.24,0.67,0.21,0.2,0.3
nuttx.csv,0.66,0.97,0.03,0.53,0.76,0.89,0.53,0.81,0.83,0.9,0.93,0.83
uclmda.csv,0.33,0.07,0.15,0.05,0.76,0.09,0.22,0.68,0.0,0.48,0.19,0.1
vdsf.csv,0.95,0.0,1.0,0.86,1.0,0.93,1.0,1.0,1.0,1.0,1.0,1.0
xcf.csv,0.81,1.0,1.0,0.42,0.78,0.56,0.73,0.65,1.0,0.84,0.5,0.03
