,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.42,0.27,0.55,0.37,0.47,0.35,0.22,0.32,0.4,0.9,0.31,0.23
ctrlr.csv,0.0,0.0,0.42,0.2,0.06,0.07,0.96,0.0,0.27,0.2,0.07,0.15
dvt.csv,0.28,0.59,0.44,0.98,0.17,0.07,0.17,0.2,0.37,0.25,0.11,0.48
flylinkdc.csv,0.93,0.0,0.02,0.14,0.47,0.43,0.17,0.57,0.36,0.42,0.34,0.19
free-evolution.csv,0.45,0.29,0.38,0.29,0.49,0.29,0.28,0.43,0.2,0.15,0.82,0.23
fw4spl.csv,0.22,0.01,0.34,0.28,0.45,0.92,0.68,0.36,0.01,0.2,0.25,0.26
ipfire-wall.csv,0.26,0.6,0.12,0.35,0.22,0.31,0.22,0.95,0.32,0.25,0.18,0.19
ldview.csv,0.46,0.4,0.17,0.46,0.96,0.6,0.28,0.54,0.36,0.25,0.25,0.25
nuttx.csv,0.59,0.13,0.99,0.68,0.45,0.36,0.35,0.46,0.51,0.35,0.27,0.48
uclmda.csv,0.44,0.17,0.36,0.0,0.55,0.18,0.65,0.41,1.0,0.5,0.28,0.32
vdsf.csv,0.21,0.88,0.0,0.42,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0
xcf.csv,0.5,0.0,0.0,0.72,0.54,0.59,0.49,0.63,0.0,0.49,0.67,0.95
