,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.67,0.28,0.59,0.49,0.55,0.78,0.71,0.67,0.51,0.95,0.67,0.86
ctrlr.csv,0.93,0.0,0.81,0.94,0.75,0.95,0.95,0.83,0.97,0.96,0.89,0.86
dvt.csv,0.94,0.49,0.66,0.71,0.91,0.98,0.92,0.83,0.46,0.97,0.92,0.45
flylinkdc.csv,0.71,0.91,0.67,0.77,0.5,0.71,0.8,0.48,0.59,0.59,0.62,0.83
free-evolution.csv,0.91,0.99,0.82,0.74,0.71,0.98,0.92,0.71,0.97,0.94,0.88,0.83
fw4spl.csv,0.97,0.89,0.98,0.89,0.68,0.98,0.69,0.79,0.75,0.97,0.92,0.9
ipfire-wall.csv,0.96,0.59,0.96,0.6,0.91,0.67,0.89,0.56,0.75,0.96,0.94,0.92
ldview.csv,0.72,0.58,0.91,0.64,0.7,0.6,0.95,0.61,0.51,0.94,0.89,0.88
nuttx.csv,0.4,0.27,0.61,0.45,0.5,0.43,0.53,0.42,0.26,0.44,0.48,0.43
uclmda.csv,0.65,0.99,0.98,0.8,0.56,0.97,0.96,0.48,0.26,0.57,0.86,0.75
vdsf.csv,0.38,0.99,0.55,0.59,0.47,0.43,0.45,0.37,0.26,0.4,0.45,0.39
xcf.csv,0.37,0.26,0.53,0.39,0.45,0.53,0.45,0.39,0.34,0.4,0.54,0.45
