,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,lcfizvtop.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,modplug.csv,pydev.csv,codepurge.csv,passwordsafe.csv,pixel-commandos.csv,elateportal.csv,sandiaportals.csv,factor.csv,uwom.csv
badtrinity-zero.csv,0.5,0.5,0.69,1.0,0.88,0.71,0.91,0.79,1.0,0.67,0.64,0.63,0.59,0.62,0.34,0.42,0.94,0.49,0.32
boost.csv,0.55,0.55,0.62,0.41,0.79,0.79,0.44,0.44,0.58,0.66,0.49,0.55,0.56,0.5,0.33,0.97,0.45,0.54,0.47
codepurge.csv,0.55,0.65,0.67,0.61,0.65,0.55,0.75,0.78,0.51,0.64,0.86,0.69,0.37,0.62,0.56,0.88,0.79,1.0,0.82
elateportal.csv,0.89,0.62,0.69,0.65,0.82,0.65,0.82,0.64,0.67,0.62,0.91,0.93,0.79,0.67,1.04,0.05,0.79,0.58,0.63
etics.csv,0.24,0.64,0.59,0.49,0.85,0.86,0.62,0.64,0.54,0.47,0.58,0.88,0.77,0.64,0.29,0.95,0.53,0.45,0.42
factor.csv,0.96,0.91,0.8,0.58,0.9,0.75,0.64,0.73,0.82,0.93,0.93,0.99,0.92,0.91,1.03,0.57,0.46,0.18,0.76
gusanos.csv,0.51,0.66,0.62,0.59,0.91,0.67,0.55,0.78,0.32,0.83,0.75,0.61,0.62,0.53,0.49,0.74,1.0,0.47,0.66
kvs.csv,0.59,0.59,0.86,0.82,0.38,0.94,0.9,0.68,0.75,0.67,0.61,0.62,0.92,0.76,1.01,1.14,0.99,1.11,0.85
lcfizvtop.csv,0.56,0.74,0.57,0.99,0.66,0.28,0.54,0.97,1.0,0.8,0.62,0.63,0.98,0.56,1.03,0.35,0.7,0.99,0.83
mcore3d.csv,0.85,0.71,0.53,0.51,0.61,0.66,0.82,0.85,0.49,0.59,0.57,0.84,0.5,0.58,0.47,0.95,0.54,0.94,0.54
modellus.csv,0.55,0.67,0.57,0.56,0.9,0.86,0.31,0.58,0.54,0.74,0.6,0.65,0.74,0.58,0.3,0.95,0.4,0.9,0.47
modplug.csv,0.89,0.66,0.88,0.76,0.73,0.66,0.68,0.73,0.7,0.93,0.36,0.88,0.79,0.79,0.59,0.67,0.36,0.49,0.83
passwordsafe.csv,0.9,0.59,0.68,0.67,0.85,0.67,0.6,0.65,0.91,0.76,0.34,0.96,0.58,0.38,0.32,0.95,0.43,0.38,0.41
pixel-commandos.csv,0.61,0.74,0.74,0.66,1.0,0.92,0.99,0.86,0.99,0.53,0.75,0.82,0.83,0.67,0.07,1.0,0.92,0.98,0.8
projecteqemu.csv,0.53,0.63,0.63,0.6,0.9,0.83,0.63,0.66,0.66,0.33,0.57,0.9,0.77,0.48,0.51,0.98,0.74,0.92,0.45
pydev.csv,0.51,0.57,0.59,0.52,0.72,0.8,0.69,0.71,0.75,0.69,0.38,0.41,0.62,0.55,0.27,1.01,0.55,0.73,0.39
sandiaportals.csv,0.96,0.6,0.75,0.62,0.86,0.6,0.82,0.58,0.79,0.54,0.47,0.82,0.79,0.43,0.38,1.0,0.29,0.31,0.55
uwom.csv,0.39,0.65,0.59,0.69,0.95,0.6,0.5,0.57,0.78,0.96,0.38,0.59,0.92,0.46,0.34,0.97,1.0,0.49,0.31
xbplayer.csv,0.56,0.63,0.6,0.48,0.65,0.54,0.6,0.69,0.55,0.76,0.71,0.7,0.64,0.56,0.56,0.84,0.72,0.79,0.64
