,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,lcfizvtop.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,modplug.csv,pydev.csv,codepurge.csv,passwordsafe.csv,pixel-commandos.csv,elateportal.csv,sandiaportals.csv,factor.csv,uwom.csv
badtrinity-zero.csv,2.0,0.0,3.0,132.0,25.0,15.0,0.0,1.0,95.0,0.0,0.0,1.0,19.0,0.0,7.0,1.0,3.0,0.0,1.0
boost.csv,5.0,0.0,0.0,3.0,10.0,9.0,3.0,0.0,1.0,0.0,0.0,1.0,18.0,0.0,6.0,1.0,0.0,0.0,0.0
codepurge.csv,1.0,4.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,3.0,27.0,0.0,0.0,4.0,13.0
elateportal.csv,0.0,0.0,0.0,9.0,12.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,16.0,0.0,49.0,0.0,2.0,0.0,34.0
etics.csv,1.0,0.0,3.0,7.0,3.0,8.0,0.0,1.0,4.0,0.0,0.0,5.0,15.0,0.0,4.0,0.0,0.0,0.0,1.0
factor.csv,0.0,0.0,1.0,9.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,12.0,11.0,0.0,94.0,1.0,1.0,0.0,32.0
gusanos.csv,6.0,1.0,0.0,13.0,3.0,5.0,7.0,1.0,1.0,0.0,0.0,1.0,15.0,0.0,21.0,1.0,70.0,0.0,27.0
kvs.csv,2.0,1.0,1.0,3.0,2.0,11.0,0.0,8.0,1.0,2.0,1.0,2.0,2.0,1.0,94.0,3.0,0.0,10.0,30.0
lcfizvtop.csv,4.0,7.0,1.0,13.0,4.0,0.0,0.0,1.0,3.0,1.0,0.0,6.0,21.0,9.0,47.0,0.0,0.0,3.0,31.0
mcore3d.csv,0.0,5.0,0.0,3.0,0.0,3.0,2.0,3.0,0.0,1.0,0.0,2.0,8.0,4.0,17.0,0.0,0.0,0.0,1.0
modellus.csv,0.0,1.0,1.0,13.0,4.0,7.0,0.0,1.0,4.0,0.0,0.0,0.0,37.0,0.0,6.0,0.0,0.0,0.0,0.0
modplug.csv,17.0,1.0,0.0,4.0,5.0,7.0,0.0,1.0,3.0,0.0,0.0,2.0,39.0,0.0,15.0,2.0,0.0,0.0,4.0
passwordsafe.csv,0.0,0.0,2.0,11.0,5.0,7.0,0.0,1.0,1.0,0.0,0.0,2.0,19.0,0.0,3.0,0.0,0.0,1.0,0.0
pixel-commandos.csv,4.0,0.0,0.0,5.0,95.0,5.0,0.0,2.0,0.0,0.0,0.0,3.0,24.0,0.0,0.0,49.0,0.0,0.0,3.0
projecteqemu.csv,9.0,1.0,2.0,11.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,11.0,0.0,6.0,0.0,0.0,1.0,0.0
pydev.csv,4.0,0.0,0.0,2.0,11.0,7.0,4.0,1.0,2.0,0.0,0.0,3.0,11.0,1.0,1.0,2.0,0.0,0.0,0.0
sandiaportals.csv,0.0,1.0,2.0,16.0,8.0,8.0,2.0,1.0,2.0,0.0,0.0,2.0,39.0,0.0,9.0,49.0,1.0,0.0,4.0
uwom.csv,3.0,0.0,1.0,17.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,9.0,0.0,12.0,1.0,70.0,0.0,4.0
xbplayer.csv,4.0,0.0,0.0,3.0,8.0,3.0,0.0,0.0,1.0,2.0,0.0,2.0,15.0,2.0,29.0,1.0,0.0,1.0,0.0
