,umber.csv,openwbem.csv,orc.csv,ivatamasks.csv,oppna-program-hsatools.csv,ogrehg.csv,iaml.csv,cubefs.csv,bwapi.csv,xcmetadataservicestoolkit.csv,kolmafia.csv,olex2.csv,ta3d.csv,gisgraphy.csv
bwapi.csv,4.0,0.0,11.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,2.0,2.0,1.0
cubefs.csv,3.0,2.0,57.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,4.0,2.0,1.0
gisgraphy.csv,20.0,0.0,31.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0
iaml.csv,0.0,3.0,0.0,0.0,1.0,23.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0
ivatamasks.csv,6.0,1.0,49.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
kolmafia.csv,10.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0
ogrehg.csv,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,2.0,0.0
olex2.csv,1.0,9.0,6.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,8.0,0.0,2.0,5.0
openwbem.csv,8.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0
oppna-program-hsatools.csv,7.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0
orc.csv,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0
ta3d.csv,5.0,28.0,155.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,2.0,5.0
umber.csv,3.0,3.0,17.0,1.0,2.0,12.0,0.0,0.0,1.0,0.0,3.0,2.0,3.0,2.0
xcmetadataservicestoolkit.csv,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,3.0,0.0
