,umber.csv,openwbem.csv,orc.csv,ivatamasks.csv,oppna-program-hsatools.csv,ogrehg.csv,iaml.csv,cubefs.csv,bwapi.csv,xcmetadataservicestoolkit.csv,kolmafia.csv,olex2.csv,ta3d.csv,gisgraphy.csv
bwapi.csv,0.09,0.05,0.63,0.0,0.78,0.32,0.0,0.51,0.77,0.0,0.21,0.58,0.39,0.0
cubefs.csv,0.06,0.17,0.07,0.66,0.41,0.53,0.6,0.7,0.19,0.54,0.45,0.17,0.6,0.21
gisgraphy.csv,0.3,0.31,0.34,0.01,0.22,0.43,0.22,0.22,0.57,0.23,0.51,0.45,0.46,0.77
iaml.csv,0.29,0.5,0.53,0.61,0.54,0.52,0.68,0.17,0.37,0.5,0.57,0.45,0.35,0.57
ivatamasks.csv,0.46,0.69,0.41,0.74,0.46,0.68,0.65,0.59,0.28,0.61,0.73,0.05,0.63,0.46
kolmafia.csv,0.42,0.61,0.42,0.0,0.82,0.62,0.52,0.62,0.3,0.75,0.75,0.67,0.62,0.0
ogrehg.csv,0.19,0.52,0.64,0.7,0.57,0.68,0.5,0.42,0.27,0.37,0.61,0.65,0.65,0.41
olex2.csv,0.75,0.52,0.42,0.0,0.51,0.43,0.52,0.38,0.09,0.73,0.59,0.71,0.63,0.25
openwbem.csv,0.77,0.57,0.6,0.41,0.26,0.55,0.33,0.58,0.22,0.55,0.62,0.61,0.64,0.62
oppna-program-hsatools.csv,0.61,0.21,0.8,0.0,0.89,0.54,0.49,0.45,0.18,0.61,0.69,0.6,0.49,0.09
orc.csv,0.06,0.54,0.86,0.53,0.63,0.49,0.25,0.43,0.09,0.26,0.34,0.48,0.27,0.36
ta3d.csv,0.87,0.16,0.0,0.54,0.23,0.07,0.58,0.39,0.07,0.26,0.68,0.06,0.53,0.35
umber.csv,0.77,0.66,0.0,0.69,0.0,0.6,0.48,0.24,0.56,0.66,0.55,0.57,0.54,0.45
xcmetadataservicestoolkit.csv,0.86,0.41,0.54,0.0,0.48,0.52,0.5,0.21,0.46,0.76,0.6,0.53,0.24,0.38
