,red5.csv,thrust.csv,miranda-icq.csv,dataobjectsdotnet.csv
dataobjectsdotnet.csv,0.69,0.98,0.99,0.56
miranda-icq.csv,0.76,0.94,0.49,0.74
red5.csv,0.47,0.81,0.81,0.87
thrust.csv,0.72,0.45,0.85,0.72
