,red5.csv,thrust.csv,miranda-icq.csv,dataobjectsdotnet.csv
dataobjectsdotnet.csv,0.6,0.09,0.05,0.58
miranda-icq.csv,0.45,0.26,0.63,0.46
red5.csv,0.66,0.32,0.51,0.44
thrust.csv,0.41,0.7,0.28,0.44
