,f1
inkscape.csv,0.54
wxcrp.csv,0.54
m-m-m.csv,0.37
bacula.csv,0.78
extprosys.csv,0.38
lsb.csv,0.25
fritzing.csv,0.67
robocode.csv,0.32
capcode.csv,0.31
openefm.csv,0.47
etics.csv,0.53
novembre.csv,0.46
lmms.csv,0.6
codeblocks.csv,0.43
ontomorphtab.csv,0.49
x-ray-mule.csv,0.29
openintents.csv,0.48
atomsite.csv,0.21
bloodycore.csv,0.27
checker-framework.csv,0.58
arianne.csv,0.48
dsworkbench.csv,0.55
gogoego.csv,0.41
electric-core.csv,0.5
atlc.csv,0.48
rosegarden.csv,0.61
linuxsh.csv,0.33
theresa.csv,0.18
jcae.csv,0.32
dxengine.csv,0.55
uwom-server.csv,0.38
ivatamasks.csv,0.79
playerstage.csv,0.61
taverna.csv,0.18
rtb-team.csv,0.36
projectts.csv,0.38
autofac.csv,0.41
nsis.csv,0.36
knowledge.csv,0.84
esmf.csv,0.41
abbot.csv,0.68
konversation.csv,0.38
arsenal-1.csv,0.63
utgb.csv,0.4
taokgame.csv,0.23
openmeetings.csv,0.57
nosleepsoftware.csv,0.28
jsidplay2.csv,0.51
chipster.csv,0.31
badtrinitycore.csv,0.28
redshell.csv,0.65
zengine.csv,0.65
javagroups.csv,0.51
hazelcast.csv,0.28
xuggle.csv,0.34
moviesandbox.csv,0.49
jrefactory.csv,0.6
alembik.csv,0.39
mule.csv,0.5
aubit4gl.csv,0.56
sepgsql.csv,0.11
sblim.csv,0.25
pentahoanalysistool.csv,0.51
rezilla.csv,0.25
pcgen.csv,0.64
dvd-create.csv,0.35
freenet.csv,0.62
ivef-sdk.csv,0.64
adonthell.csv,0.41
algebsql.csv,0.19
