,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.96,0.62,0.4,0.55,0.35,0.12,0.62,0.56,0.42,0.32,0.19
badtrinitycore.csv,0.08,0.07,0.17,0.87,0.39,0.0,0.31,0.12,0.2,0.41,0.44
boost.csv,0.85,0.75,0.63,0.68,0.57,0.54,0.6,0.68,0.98,0.38,0.66
electric-core.csv,0.69,0.47,0.93,0.64,0.74,0.42,0.56,0.47,0.57,0.62,0.59
java-gnome.csv,0.15,1.0,0.48,0.79,0.43,1.0,1.0,0.27,1.0,0.17,0.19
miranda-icq.csv,0.77,0.68,0.44,0.6,0.57,0.46,0.94,0.34,0.3,0.31,0.16
ofbiz.csv,0.69,0.53,0.2,0.13,0.26,0.11,0.44,0.45,0.57,1.0,0.31
olsrd.csv,0.96,0.99,0.84,0.81,0.96,0.61,0.69,0.81,0.62,0.91,0.59
opensim4opencog.csv,0.19,0.0,0.01,0.13,0.7,0.02,0.31,0.54,0.34,0.58,0.38
t-2.csv,0.38,0.74,0.36,0.4,0.43,0.25,0.46,0.92,0.58,0.58,0.69
xcf.csv,0.65,1.0,0.9,0.87,0.83,0.7,1.0,0.51,0.95,0.43,0.97
