,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.0,0.3,0.12,0.2,0.27,0.19,0.51,0.54,0.25,0.26,0.03
badtrinitycore.csv,0.04,0.05,0.02,0.0,0.48,0.0,0.21,0.29,0.18,0.36,0.53
boost.csv,0.83,0.85,0.35,0.51,0.38,0.5,0.67,0.67,0.0,0.46,0.57
electric-core.csv,0.67,0.25,0.0,0.58,0.7,0.31,0.58,0.49,0.65,0.62,0.63
java-gnome.csv,0.12,1.0,0.15,0.48,0.08,0.0,1.0,0.43,1.0,0.13,0.1
miranda-icq.csv,0.46,0.85,0.29,0.35,0.38,0.19,0.0,0.27,0.25,0.43,0.1
ofbiz.csv,0.33,0.2,0.23,0.22,0.21,0.38,0.29,0.31,0.35,0.05,0.27
olsrd.csv,0.79,0.0,0.72,0.65,0.59,0.5,0.45,0.76,0.5,0.72,0.57
opensim4opencog.csv,0.08,0.0,0.01,0.04,0.0,0.0,0.35,0.6,0.39,0.55,0.6
t-2.csv,0.33,0.8,0.45,0.54,0.65,0.44,0.49,0.0,0.7,0.7,0.73
xcf.csv,0.62,1.0,0.87,0.92,0.7,0.5,1.0,0.52,0.93,0.43,0.0
