,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.0,3.0,11.0,5.0,5.0,0.0,7.0,9.0,0.0,4.0,1.0
badtrinitycore.csv,0.0,1.0,7.0,0.0,10.0,72.0,2.0,87.0,8.0,7.0,1.0
boost.csv,7.0,0.0,5.0,35.0,4.0,0.0,3.0,66.0,0.0,2.0,9.0
electric-core.csv,9.0,4.0,0.0,5.0,11.0,0.0,3.0,84.0,1.0,2.0,4.0
java-gnome.csv,2.0,0.0,23.0,21.0,0.0,0.0,4.0,24.0,1.0,0.0,2.0
miranda-icq.csv,3.0,0.0,5.0,3.0,6.0,1.0,0.0,4.0,2.0,1.0,2.0
ofbiz.csv,0.0,1.0,7.0,32.0,13.0,1.0,0.0,14.0,0.0,0.0,4.0
olsrd.csv,5.0,0.0,6.0,16.0,5.0,0.0,8.0,11.0,0.0,0.0,5.0
opensim4opencog.csv,1.0,87.0,0.0,11.0,0.0,0.0,1.0,88.0,1.0,2.0,3.0
t-2.csv,4.0,0.0,7.0,8.0,12.0,0.0,4.0,0.0,1.0,2.0,4.0
xcf.csv,7.0,0.0,6.0,8.0,6.0,0.0,4.0,51.0,1.0,6.0,0.0
