,pf
guineu.csv,0.07
campsoft.csv,0.12
gtad.csv,0.25
rhex.csv,0.09
owlib.csv,0.29
ktc.csv,0.16
jedit.csv,0.15
net-snmp.csv,0.53
encog-java.csv,0.3
umber.csv,0.29
jahshakafx.csv,0.39
jahshaka.csv,0.08
selenium.csv,0.09
paintown.csv,0.0
h2database.csv,0.21
x4x.csv,0.75
elmo.csv,0.15
jmoney.csv,0.05
google-collections.csv,0.0
baadengine.csv,0.14
raven-monitoring.csv,0.31
smbopensoft.csv,0.49
xharbour.csv,0.68
flylinkdc.csv,0.19
reactos-mirror.csv,0.44
qpe.csv,0.19
xbrlapi.csv,0.38
prelude.csv,0.0
neoengine.csv,0.2
atunes.csv,0.33
avifile.csv,0.23
lamp.csv,0.08
logicmail.csv,0.25
wgs-assembler.csv,0.7
plearn.csv,0.17
werx.csv,0.75
plog4u.csv,0.08
openwbem.csv,0.38
qgo.csv,0.23
jaql.csv,0.35
kmatplot.csv,0.28
pclasses.csv,0.11
agilitybook.csv,0.36
triplea.csv,0.05
raygina.csv,0.12
wpdev.csv,0.0
owfs.csv,0.4
olap-navigator.csv,0.0
pokeglobal.csv,0.59
nova.csv,0.0
sauerbraten.csv,0.12
graphmak.csv,0.33
jgameai.csv,0.11
gpsmid.csv,0.08
empyrean.csv,0.24
awemud.csv,0.07
crisscross.csv,0.22
re2c.csv,0.18
tzod.csv,0.17
octave.csv,0.13
adaptagrams.csv,0.67
open-media-library.csv,0.2
vdsf.csv,0.33
orc.csv,0.34
lazarus-ccr.csv,0.21
n2cms.csv,0.2
forester-atv.csv,0.4
mob-sen-plat.csv,0.0
nh3d.csv,0.79
amanda.csv,0.22
