,d2h
guineu.csv,0.81
campsoft.csv,0.12
gtad.csv,0.25
rhex.csv,0.67
owlib.csv,0.55
ktc.csv,0.42
jedit.csv,0.62
net-snmp.csv,0.62
encog-java.csv,0.62
umber.csv,0.33
jahshakafx.csv,0.42
jahshaka.csv,0.55
selenium.csv,0.66
paintown.csv,0.76
h2database.csv,0.53
x4x.csv,0.79
elmo.csv,0.81
jmoney.csv,0.75
google-collections.csv,0.74
baadengine.csv,0.83
raven-monitoring.csv,0.8
smbopensoft.csv,0.73
xharbour.csv,0.69
flylinkdc.csv,0.5
reactos-mirror.csv,0.55
qpe.csv,0.47
xbrlapi.csv,0.7
prelude.csv,0.95
neoengine.csv,0.52
atunes.csv,0.38
avifile.csv,1.03
lamp.csv,0.72
logicmail.csv,0.42
wgs-assembler.csv,0.75
plearn.csv,0.63
werx.csv,0.83
plog4u.csv,1.0
openwbem.csv,0.52
qgo.csv,0.61
jaql.csv,0.43
kmatplot.csv,0.53
pclasses.csv,0.83
agilitybook.csv,0.54
triplea.csv,0.66
raygina.csv,0.69
wpdev.csv,0.5
owfs.csv,0.54
olap-navigator.csv,0.75
pokeglobal.csv,0.61
nova.csv,0.92
sauerbraten.csv,0.68
graphmak.csv,0.68
jgameai.csv,0.89
gpsmid.csv,0.64
empyrean.csv,0.67
awemud.csv,0.75
crisscross.csv,0.7
re2c.csv,0.69
tzod.csv,0.65
octave.csv,0.92
adaptagrams.csv,0.67
open-media-library.csv,0.7
vdsf.csv,0.49
orc.csv,0.39
lazarus-ccr.csv,0.78
n2cms.csv,0.66
forester-atv.csv,0.67
mob-sen-plat.csv,0.88
nh3d.csv,0.79
amanda.csv,0.49
