,recall
guineu.csv,0.19
campsoft.csv,1.0
gtad.csv,1.0
rhex.csv,0.33
owlib.csv,0.53
ktc.csv,0.61
jedit.csv,0.39
net-snmp.csv,0.68
encog-java.csv,0.45
umber.csv,0.84
jahshakafx.csv,0.85
jahshaka.csv,0.45
selenium.csv,0.35
paintown.csv,0.24
h2database.csv,0.51
x4x.csv,0.74
elmo.csv,0.2
jmoney.csv,0.25
google-collections.csv,0.26
baadengine.csv,0.18
raven-monitoring.csv,0.26
smbopensoft.csv,0.46
xharbour.csv,0.89
flylinkdc.csv,0.54
reactos-mirror.csv,0.67
qpe.csv,0.56
xbrlapi.csv,0.4
prelude.csv,0.05
neoengine.csv,0.53
atunes.csv,0.82
avifile.csv,0.0
lamp.csv,0.29
logicmail.csv,0.67
wgs-assembler.csv,0.72
plearn.csv,0.39
werx.csv,0.63
plog4u.csv,0.0
openwbem.csv,0.64
qgo.csv,0.43
jaql.csv,0.76
kmatplot.csv,0.55
pclasses.csv,0.18
agilitybook.csv,0.61
triplea.csv,0.34
raygina.csv,0.32
wpdev.csv,0.5
owfs.csv,0.64
olap-navigator.csv,0.25
pokeglobal.csv,0.83
nova.csv,0.08
sauerbraten.csv,0.33
graphmak.csv,0.4
jgameai.csv,0.12
gpsmid.csv,0.37
empyrean.csv,0.38
awemud.csv,0.26
crisscross.csv,0.33
re2c.csv,0.33
tzod.csv,0.37
octave.csv,0.09
adaptagrams.csv,0.96
open-media-library.csv,0.32
vdsf.csv,0.64
orc.csv,0.81
lazarus-ccr.csv,0.25
n2cms.csv,0.38
forester-atv.csv,0.46
mob-sen-plat.csv,0.12
nh3d.csv,1.0
amanda.csv,0.56
