,pci_20
guineu.csv,0.89
campsoft.csv,0.93
gtad.csv,0.6
rhex.csv,0.91
owlib.csv,0.58
ktc.csv,0.47
jedit.csv,0.63
net-snmp.csv,0.35
encog-java.csv,0.65
umber.csv,0.44
jahshakafx.csv,0.36
jahshaka.csv,0.67
selenium.csv,0.62
paintown.csv,0.94
h2database.csv,0.65
x4x.csv,0.38
elmo.csv,0.64
jmoney.csv,0.86
google-collections.csv,0.62
baadengine.csv,0.96
raven-monitoring.csv,0.64
smbopensoft.csv,0.49
xharbour.csv,0.33
flylinkdc.csv,0.56
reactos-mirror.csv,0.41
qpe.csv,0.62
xbrlapi.csv,0.5
prelude.csv,0.5
neoengine.csv,0.56
atunes.csv,0.45
avifile.csv,0.6
lamp.csv,0.93
logicmail.csv,0.33
wgs-assembler.csv,0.32
plearn.csv,0.6
werx.csv,0.38
plog4u.csv,0.88
openwbem.csv,0.49
qgo.csv,0.43
jaql.csv,0.42
kmatplot.csv,0.54
pclasses.csv,0.88
agilitybook.csv,0.58
triplea.csv,0.67
raygina.csv,0.69
wpdev.csv,0.38
owfs.csv,0.46
olap-navigator.csv,0.87
pokeglobal.csv,0.37
nova.csv,0.0
sauerbraten.csv,0.75
graphmak.csv,0.52
jgameai.csv,0.9
gpsmid.csv,0.62
empyrean.csv,0.63
awemud.csv,0.68
crisscross.csv,0.83
re2c.csv,0.73
tzod.csv,0.67
octave.csv,0.93
adaptagrams.csv,0.32
open-media-library.csv,0.64
vdsf.csv,0.51
orc.csv,0.52
lazarus-ccr.csv,0.58
n2cms.csv,0.85
forester-atv.csv,0.46
mob-sen-plat.csv,0.75
nh3d.csv,0.45
amanda.csv,0.4
