,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv,biodwh.csv
all-plasm.csv,0.52,0.48,0.67,0.0,0.77,0.87,0.18,0.64,0.6,0.65,0.76,0.19,0.33
archive-crawler.csv,0.07,0.13,0.33,0.06,0.09,0.67,0.23,0.17,0.41,0.48,0.38,0.19,0.17
biodwh.csv,0.03,0.0,0.11,0.0,0.11,0.0,0.08,0.0,0.03,0.17,0.05,0.5,0.17
blue-c.csv,0.86,0.83,0.89,0.0,0.94,0.9,0.6,0.81,0.89,0.74,0.95,0.93,0.5
dynalloy.csv,0.55,0.5,0.0,0.0,0.69,0.2,0.26,0.4,0.44,0.3,0.57,0.36,0.33
jcae.csv,0.07,0.02,0.11,0.0,0.11,0.43,0.04,0.21,0.29,0.48,0.48,0.21,0.17
kmatplot.csv,0.38,0.35,0.78,0.88,0.0,0.7,0.33,0.21,0.31,0.61,0.52,0.81,0.58
mscore.csv,0.97,1.0,1.0,0.56,0.89,0.7,0.82,0.83,0.88,0.87,1.0,0.98,1.0
nosleepsoftware.csv,0.1,0.02,0.22,0.5,0.0,0.0,0.06,0.05,0.07,0.0,0.0,0.0,0.33
openmalaria.csv,0.79,0.69,1.0,0.69,0.6,0.73,0.8,0.71,0.89,0.7,0.9,0.64,1.0
popeye-chess.csv,0.52,0.37,0.44,0.19,0.63,0.6,0.42,0.48,0.29,0.61,0.43,0.67,0.17
riff-evolve.csv,0.69,0.42,0.89,0.0,0.63,0.37,0.41,0.33,0.66,0.39,0.52,0.83,0.83
virtuoso.csv,0.21,0.15,0.22,0.0,0.51,0.0,0.17,0.12,0.3,0.43,0.48,0.38,0.33
