,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv,biodwh.csv
all-plasm.csv,0.25,0.49,0.41,0.0,0.67,0.81,0.29,0.54,0.58,0.5,0.73,0.26,0.35
archive-crawler.csv,0.1,0.21,0.3,0.09,0.16,0.75,0.37,0.27,0.51,0.54,0.42,0.31,0.17
biodwh.csv,0.07,0.0,0.06,0.0,0.21,0.0,0.15,0.0,0.06,0.29,0.07,0.36,0.25
blue-c.csv,0.31,0.53,0.23,0.0,0.71,0.86,0.68,0.64,0.66,0.49,0.68,0.4,0.24
dynalloy.csv,0.3,0.59,0.0,0.0,0.61,0.33,0.38,0.4,0.5,0.26,0.56,0.25,0.28
jcae.csv,0.11,0.03,0.15,0.0,0.19,0.58,0.08,0.31,0.43,0.46,0.62,0.33,0.19
kmatplot.csv,0.44,0.33,0.22,0.38,0.0,0.69,0.44,0.33,0.41,0.47,0.47,0.33,0.24
mscore.csv,0.39,0.54,0.19,0.31,0.74,0.72,0.78,0.71,0.68,0.44,0.6,0.37,0.26
nosleepsoftware.csv,0.19,0.04,0.16,0.57,0.0,0.0,0.11,0.09,0.12,0.0,0.0,0.0,0.26
openmalaria.csv,0.39,0.5,0.2,0.34,0.68,0.72,0.75,0.71,0.69,0.44,0.57,0.34,0.29
popeye-chess.csv,0.31,0.43,0.13,0.16,0.71,0.72,0.58,0.57,0.41,0.42,0.44,0.38,0.15
riff-evolve.csv,0.41,0.51,0.26,0.0,0.67,0.54,0.55,0.44,0.69,0.37,0.49,0.49,0.33
virtuoso.csv,0.17,0.22,0.33,0.0,0.58,0.0,0.25,0.19,0.41,0.38,0.45,0.47,0.22
