,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv,biodwh.csv
all-plasm.csv,0.16,0.49,0.3,0.0,0.59,0.76,0.74,0.47,0.56,0.41,0.7,0.4,0.36
archive-crawler.csv,0.18,0.47,0.27,0.17,1.0,0.87,0.88,0.7,0.7,0.61,0.47,0.8,0.18
biodwh.csv,1.0,0.0,0.04,0.0,1.0,0.0,1.0,0.0,0.75,0.8,0.17,0.28,0.5
blue-c.csv,0.19,0.39,0.13,0.0,0.57,0.82,0.77,0.53,0.53,0.36,0.53,0.25,0.16
dynalloy.csv,0.21,0.72,0.0,0.0,0.55,1.0,0.69,0.39,0.59,0.23,0.55,0.2,0.24
jcae.csv,0.22,0.12,0.25,0.0,0.57,0.87,1.0,0.53,0.87,0.44,0.91,0.75,0.22
kmatplot.csv,0.52,0.32,0.13,0.24,0.0,0.68,0.66,0.69,0.62,0.38,0.42,0.2,0.15
mscore.csv,0.25,0.37,0.1,0.21,0.63,0.75,0.74,0.62,0.55,0.3,0.43,0.23,0.15
nosleepsoftware.csv,1.0,0.33,0.12,0.67,0.0,0.0,0.42,1.0,0.86,0.0,0.0,0.0,0.21
openmalaria.csv,0.26,0.4,0.11,0.23,0.78,0.71,0.71,0.7,0.56,0.33,0.41,0.23,0.17
popeye-chess.csv,0.22,0.53,0.08,0.14,0.81,0.9,0.9,0.71,0.7,0.32,0.45,0.26,0.13
riff-evolve.csv,0.29,0.63,0.15,0.0,0.71,1.0,0.85,0.67,0.73,0.35,0.46,0.35,0.2
virtuoso.csv,0.14,0.38,0.67,0.0,0.67,0.0,0.5,0.45,0.64,0.33,0.43,0.62,0.16
