,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv,biodwh.csv
all-plasm.csv,0.61,0.29,0.18,0.34,0.43,0.32,0.09,0.61,0.47,0.4,0.23,0.09,0.1
archive-crawler.csv,0.07,0.09,0.1,0.11,0.0,0.12,0.05,0.06,0.17,0.13,0.3,0.01,0.13
biodwh.csv,0.0,0.01,0.33,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.17,0.38,0.03
blue-c.csv,0.83,0.73,0.68,0.62,0.57,0.24,0.26,0.59,0.78,0.55,0.6,0.81,0.45
dynalloy.csv,0.48,0.11,0.15,0.19,0.45,0.0,0.18,0.53,0.3,0.42,0.33,0.44,0.18
jcae.csv,0.06,0.08,0.04,0.06,0.07,0.08,0.0,0.16,0.04,0.25,0.03,0.02,0.1
kmatplot.csv,0.08,0.42,0.61,0.94,0.0,0.4,0.25,0.08,0.18,0.42,0.5,0.94,0.55
mscore.csv,0.68,0.99,1.0,0.7,0.41,0.28,0.44,0.41,0.7,0.85,0.93,1.0,0.97
nosleepsoftware.csv,0.0,0.02,0.18,0.09,0.02,0.0,0.13,0.0,0.01,0.0,0.1,0.05,0.21
openmalaria.csv,0.52,0.6,0.92,0.79,0.14,0.36,0.47,0.25,0.68,0.6,0.9,0.64,0.85
popeye-chess.csv,0.41,0.19,0.59,0.4,0.11,0.08,0.07,0.16,0.12,0.55,0.37,0.56,0.18
riff-evolve.csv,0.38,0.14,0.56,0.28,0.2,0.0,0.11,0.14,0.24,0.31,0.43,0.46,0.55
virtuoso.csv,0.29,0.14,0.01,0.0,0.2,0.0,0.25,0.12,0.16,0.36,0.43,0.07,0.3
