,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,skia.csv,zemljanka.csv,tencompetence.csv
bulmages.csv,213.5,0.0,95.5,0.0,1109.5,91.5,69.5,4369.0,95.5,0.0,172.0,98.5,96.5,83.5,278.5,0.0,187.0
codeblocks.csv,95.5,96.5,354.0,91.5,1153.5,97.5,98.5,482.5,95.5,1238.5,1964.0,98.5,99.0,61.5,467.0,99.0,86.5
grisbi.csv,197.5,98.5,195.0,98.5,1832.5,97.5,98.5,4720.5,193.0,1488.5,1379.5,98.5,99.0,97.5,667.0,99.0,99.0
libmesh.csv,97.5,96.5,394.5,97.5,609.5,265.5,95.5,4096.0,189.0,1689.0,729.0,292.5,98.5,99.0,216.0,90.5,99.0
panda3d.csv,98.5,97.5,293.5,97.5,601.5,185.0,95.5,1519.0,171.0,672.5,923.0,96.5,96.5,99.0,546.5,97.5,183.0
proftp.csv,74.5,98.5,23.5,0.0,752.5,97.5,98.5,769.5,84.5,0.0,451.5,98.5,74.5,97.5,413.0,98.5,95.5
red5.csv,197.5,96.5,95.5,96.5,1399.0,97.5,98.5,1352.5,95.5,1685.0,1470.0,197.5,99.0,99.0,565.0,99.0,98.5
skia.csv,95.5,98.5,169.0,87.5,1199.0,97.5,98.5,1724.5,191.0,284.0,1066.5,98.5,96.5,83.5,356.0,98.5,98.5
soar.csv,197.5,98.5,393.0,98.5,2103.0,97.5,98.5,6863.5,193.0,1594.5,1556.5,197.5,99.0,99.0,857.5,99.0,99.0
super-tux.csv,93.5,98.5,95.5,96.5,1565.0,97.5,98.5,1921.5,192.0,1685.0,1285.0,197.5,99.0,99.0,850.5,99.0,98.5
t-2.csv,97.5,96.5,194.5,190.0,1501.5,95.5,98.5,163.0,94.5,1767.5,267.5,762.0,99.0,99.0,472.5,99.0,99.0
tart.csv,95.5,98.5,393.0,190.0,964.5,97.5,98.5,4566.5,193.0,1668.5,85.5,98.5,99.0,97.5,378.5,92.5,99.0
tcvp.csv,41.5,84.5,17.5,91.5,97.5,0.0,0.0,70.5,0.0,687.0,345.0,177.5,91.5,0.0,275.0,14.0,109.5
tencompetence.csv,197.5,96.5,295.5,89.5,779.5,175.0,66.5,8743.5,95.5,0.0,2405.5,197.5,99.0,97.5,464.5,99.0,99.0
utgb.csv,197.5,98.5,94.5,91.5,967.5,97.5,98.5,2344.0,187.0,1146.5,1190.5,97.5,93.5,97.5,380.5,98.5,93.5
xbrlapi.csv,98.5,162.0,492.0,98.5,439.5,91.5,92.5,4674.5,95.5,82.5,820.0,98.5,46.5,97.5,105.0,0.0,99.0
zemljanka.csv,196.5,98.5,492.0,98.5,1662.5,97.5,98.5,6962.5,285.5,1668.5,356.0,98.5,99.0,97.5,479.0,99.0,99.0
