,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.99,0.64,0.6,0.52,0.5,0.62,0.48,0.39,0.57,0.46
clamav.csv,0.41,0.18,0.57,0.07,0.26,0.31,0.1,1.0,0.31,0.38
dvd-create.csv,0.59,0.42,0.58,0.63,0.98,0.63,0.46,0.77,0.52,0.57
gbif-indexingtoolkit.csv,0.21,0.42,0.46,0.53,0.18,0.93,0.0,0.37,0.27,0.53
go.csv,0.7,0.69,0.98,0.47,0.62,0.31,0.29,0.39,0.55,0.65
kwave.csv,0.25,0.33,0.33,1.0,0.39,0.31,0.18,0.42,0.14,0.41
libarchive.csv,0.6,0.65,0.56,0.47,0.45,0.54,0.1,0.24,0.49,0.98
liferea.csv,0.5,1.0,0.43,0.0,0.17,0.4,0.0,0.24,0.59,0.46
linux-ntfs.csv,0.45,0.27,0.57,0.47,0.34,0.65,0.0,0.12,1.0,0.62
mpgravity.csv,0.43,0.6,0.54,0.38,0.44,0.5,1.0,0.51,0.69,0.59
