,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.99,0.5,0.66,0.36,0.61,0.34,0.29,0.37,0.56,0.49
clamav.csv,0.5,0.18,0.64,0.07,0.35,0.25,0.13,1.0,0.38,0.42
dvd-create.csv,0.8,0.35,0.78,0.38,0.99,0.33,0.36,0.64,0.6,0.55
gbif-indexingtoolkit.csv,0.3,0.31,0.52,0.32,0.24,0.95,0.0,0.3,0.34,0.5
go.csv,0.79,0.43,0.99,0.33,0.72,0.2,0.3,0.41,0.58,0.6
kwave.csv,0.32,0.19,0.38,1.0,0.54,0.21,0.21,0.36,0.18,0.37
libarchive.csv,0.69,0.42,0.64,0.33,0.56,0.29,0.13,0.31,0.51,0.99
liferea.csv,0.6,1.0,0.53,0.0,0.24,0.28,0.0,0.33,0.59,0.54
linux-ntfs.csv,0.55,0.27,0.64,0.33,0.44,0.44,0.0,0.15,1.0,0.63
mpgravity.csv,0.54,0.38,0.6,0.21,0.56,0.24,1.0,0.42,0.66,0.57
