,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,wheat.csv,panda3d.csv
benojt.csv,0.85,1.0,1.0,0.0,0.97,1.0,1.0
jahshaka.csv,0.23,0.31,0.57,0.0,0.61,0.21,0.56
jatlas.csv,0.77,0.47,0.78,0.33,0.15,0.25,0.26
jedit.csv,0.29,0.41,0.41,1.0,0.92,0.46,0.32
open-media-library.csv,0.67,0.12,0.28,1.0,0.39,0.33,0.33
panda3d.csv,0.35,0.35,0.39,0.0,0.32,0.46,0.25
wheat.csv,0.57,0.39,0.85,0.0,0.53,0.21,0.38
