,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.1,0.13,0.07,0.5,0.85,0.66,0.59,0.37,0.47,0.44
autoopencas.csv,0.54,0.39,0.22,0.36,0.61,0.4,0.75,0.33,0.09,0.38
gogoego.csv,0.49,0.39,0.49,0.54,0.82,0.48,0.11,0.9,0.33,0.55
jam-daq.csv,0.29,0.35,0.34,0.27,0.09,0.52,0.02,0.18,0.67,0.25
jhotdraw.csv,0.9,0.22,0.82,0.54,0.97,0.6,0.66,0.82,0.2,0.53
pokeglobal.csv,0.76,0.78,0.51,0.91,0.76,0.95,1.0,0.49,0.76,0.87
robocode.csv,0.66,0.7,0.72,0.61,0.18,0.55,0.5,0.45,0.87,0.6
springside.csv,0.63,0.7,0.9,0.96,0.85,0.85,0.86,0.82,0.67,0.96
trinitycore.csv,0.1,0.35,0.28,0.68,0.0,0.48,0.36,0.06,0.4,0.73
uwom-server.csv,0.2,0.35,0.25,0.68,0.0,0.31,0.39,0.24,0.49,0.67
