,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.83,0.9,0.92,0.64,0.74,0.56,0.73,0.74,0.64,0.7
autoopencas.csv,0.61,0.83,0.75,0.83,0.67,0.82,0.73,0.81,0.9,0.8
gogoego.csv,0.5,0.62,0.61,0.49,0.48,0.43,0.94,0.41,0.57,0.47
jam-daq.csv,0.62,0.54,0.76,0.72,0.58,0.54,0.93,0.94,0.42,0.75
jhotdraw.csv,0.42,0.92,0.4,0.61,0.47,0.8,0.51,0.5,0.94,0.61
pokeglobal.csv,0.44,0.45,0.5,0.44,0.53,0.37,0.41,0.65,0.38,0.44
robocode.csv,0.55,0.46,0.47,0.48,0.46,0.53,0.35,0.74,0.39,0.48
springside.csv,0.41,0.33,0.38,0.44,0.46,0.32,0.4,0.42,0.38,0.44
trinitycore.csv,0.83,0.82,0.68,0.57,0.0,0.71,0.58,0.92,0.65,0.56
uwom-server.csv,0.75,0.67,0.74,0.5,0.5,0.77,0.52,0.78,0.62,0.5
