,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,99.0,195.0,98.5,584.0,98.5,290.0,2091.0,585.5,98.5,98.5,89.5,0.0,295.0
badtrinity-zero.csv,96.5,0.0,99.0,0.0,98.5,487.0,370.0,0.0,98.5,98.5,89.5,98.5,295.0
bibletime.csv,99.0,283.5,98.5,194.0,98.5,388.5,3752.0,191.0,98.5,97.5,186.0,98.5,192.0
critterding.csv,99.0,189.0,99.0,582.0,197.5,579.5,7461.5,388.5,98.5,98.5,289.0,98.5,196.0
elateportal.csv,99.0,195.0,99.0,389.0,98.5,289.5,5604.5,486.5,266.5,98.5,89.5,98.5,295.0
fmri-dmt.csv,99.0,97.5,99.0,584.0,284.0,95.5,5014.0,488.0,98.5,98.5,381.5,98.5,194.0
ftm.csv,197.5,188.0,98.5,191.0,98.5,390.5,3250.0,94.5,98.5,96.5,91.5,98.5,97.5
gusanos.csv,198.0,195.0,369.0,487.5,98.5,95.5,870.5,94.5,98.5,98.5,186.0,0.0,91.5
monetdb.csv,99.0,97.5,98.5,191.0,98.5,485.0,2549.0,290.0,98.5,93.5,91.5,90.5,188.0
quarkplayer.csv,99.0,168.0,193.0,386.0,310.5,1021.5,1872.0,93.5,191.0,97.5,239.5,91.5,51.5
reactos-mirror.csv,99.0,97.5,98.5,486.5,98.5,194.5,5265.0,388.5,98.5,98.5,186.0,98.5,91.5
sandiaportals.csv,99.0,191.0,98.5,584.0,197.5,1027.5,4526.0,489.0,98.5,98.5,0.0,98.5,295.0
xbplayer.csv,197.5,93.5,99.0,292.5,98.5,291.0,3762.5,94.5,98.5,96.5,186.0,93.5,91.5
