,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.57,0.71,0.48,0.49,0.48,0.4,0.5,0.41,0.49,0.68
pclasses.csv,0.67,0.47,0.0,0.83,0.94,0.5,0.9,0.5,0.68,0.0
pfaedit.csv,0.83,0.55,0.83,0.61,0.42,0.75,0.39,0.86,0.47,0.55
theresa.csv,0.55,0.35,0.67,0.5,0.34,0.5,0.54,0.35,0.54,0.39
thrust.csv,0.67,0.88,0.92,0.0,0.77,0.88,0.94,0.96,0.97,0.97
tktoolkit.csv,0.61,0.52,0.9,0.91,0.31,0.47,0.59,0.79,0.61,0.47
trinitycore.csv,0.6,0.55,0.0,0.48,0.35,0.47,0.33,0.95,0.53,0.83
tzod.csv,0.86,0.43,0.5,0.71,0.4,0.9,0.44,0.4,0.48,0.4
yaprm.csv,0.52,0.67,0.0,0.57,0.74,0.67,0.44,0.5,0.53,0.52
zemljanka.csv,0.47,0.41,0.44,0.55,0.33,0.61,0.36,0.42,0.46,0.48
