,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.69,0.73,0.24,0.92,0.84,0.98,0.82,0.97,0.7,0.66
pclasses.csv,0.28,0.62,1.0,0.39,0.86,1.0,0.94,0.96,0.66,1.0
pfaedit.csv,1.01,0.6,0.85,0.46,0.33,0.88,0.65,0.59,0.64,0.78
theresa.csv,0.88,0.52,0.71,0.22,0.42,1.0,0.64,0.76,0.6,0.59
thrust.csv,1.0,0.93,0.73,1.0,0.79,0.44,0.9,0.97,0.85,0.88
tktoolkit.csv,0.72,0.9,0.86,1.02,0.72,0.8,0.7,0.46,0.83,0.93
trinitycore.csv,0.67,0.64,1.0,0.52,0.56,0.68,0.73,0.79,0.56,0.97
tzod.csv,0.92,0.46,0.38,0.41,0.45,0.84,0.61,0.77,0.59,0.52
yaprm.csv,0.74,0.65,1.0,0.41,0.71,0.76,0.43,0.64,0.65,0.73
zemljanka.csv,0.77,0.69,0.87,0.6,0.86,0.67,0.84,0.9,0.88,0.19
