,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,1.0,3.0,1.0,43.0,1.0,1.0,0.0,3.0,11.0,0.0
pclasses.csv,2.0,4.0,69.0,10.0,2.0,63.0,0.0,0.0,4.0,210.0
pfaedit.csv,66.0,6.0,0.0,15.0,0.0,1.0,0.0,1.0,16.0,0.0
theresa.csv,14.0,3.0,1.0,10.0,0.0,63.0,0.0,28.0,3.0,0.0
thrust.csv,66.0,4.0,0.0,52.0,0.0,3.0,0.0,6.0,14.0,0.0
tktoolkit.csv,8.0,2.0,0.0,52.0,7.0,7.0,0.0,0.0,19.0,0.0
trinitycore.csv,6.0,0.0,69.0,25.0,5.0,0.0,0.0,6.0,8.0,0.0
tzod.csv,5.0,0.0,0.0,12.0,0.0,1.0,2.0,15.0,0.0,0.0
yaprm.csv,6.0,5.0,69.0,11.0,0.0,3.0,0.0,17.0,3.0,0.0
zemljanka.csv,1.0,4.0,0.0,29.0,0.0,5.0,0.0,3.0,13.0,0.0
