,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.64,0.4,0.86,0.38,0.46,0.09,0.46,0.17,0.6,0.52
pclasses.csv,0.81,0.56,0.0,0.69,0.2,0.0,0.1,0.05,0.46,0.0
pfaedit.csv,0.0,0.54,0.18,0.67,0.73,0.15,0.68,0.48,0.54,0.46
theresa.csv,0.21,0.65,0.34,0.95,0.71,0.0,0.45,0.55,0.48,0.49
thrust.csv,0.0,0.09,0.32,0.0,0.32,0.63,0.19,0.05,0.19,0.18
tktoolkit.csv,0.4,0.4,0.18,0.0,0.64,0.52,0.48,0.61,0.37,0.34
trinitycore.csv,0.4,0.45,0.0,0.82,0.7,0.53,0.61,0.26,0.58,0.04
tzod.csv,0.11,0.65,0.7,0.69,0.65,0.21,0.6,0.55,0.55,0.61
yaprm.csv,0.39,0.42,0.0,0.69,0.35,0.33,0.69,0.47,0.44,0.32
zemljanka.csv,0.57,0.63,0.43,0.77,0.43,0.59,0.48,0.4,0.4,0.84
