,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.37,0.49,0.3,0.98,0.51,0.19,0.3,0.36,0.63,0.26,0.54,0.54
gmerlin.csv,0.33,0.33,0.27,0.42,0.45,0.11,0.92,0.42,0.33,0.38,0.37,0.43
google-gears.csv,0.51,0.34,0.61,0.71,0.54,0.11,0.47,1.0,0.68,0.48,0.6,0.51
gstreamer.csv,0.44,0.32,0.63,0.51,0.55,0.11,0.47,0.65,0.99,0.39,0.52,0.66
lportal.csv,0.35,0.08,0.36,0.49,0.28,0.95,0.36,0.47,0.37,0.34,0.21,0.06
metacosm.csv,0.47,0.45,0.44,0.2,0.37,0.12,0.35,0.41,0.3,0.24,0.36,1.0
mplayer-ce.csv,0.47,0.26,0.55,0.7,0.53,0.07,0.44,0.69,0.61,0.44,0.97,0.39
openmeetings.csv,0.41,0.95,0.4,0.53,0.32,0.16,0.09,0.3,0.49,0.28,0.55,0.47
qgis.csv,0.34,0.51,0.99,0.55,0.42,0.09,0.24,0.62,0.54,0.4,0.54,0.56
skia.csv,0.43,0.35,0.14,0.23,0.43,0.09,0.29,0.37,0.43,1.0,0.29,0.12
wxcrp.csv,0.92,0.23,0.46,0.67,0.47,0.07,0.33,0.44,0.44,0.45,0.49,0.59
yafdotnet.csv,0.42,0.27,0.49,0.6,0.97,0.09,0.41,0.73,0.58,0.45,0.52,0.49
