,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.29,0.55,0.19,0.97,0.57,0.62,0.22,0.23,0.62,0.17,0.69,0.48
gmerlin.csv,0.29,0.41,0.19,0.31,0.34,0.82,0.84,0.28,0.2,0.35,0.29,0.3
google-gears.csv,0.87,0.64,0.75,0.79,0.64,0.3,0.78,0.99,0.7,0.78,0.86,0.52
gstreamer.csv,0.58,0.77,0.65,0.43,0.62,0.77,0.66,0.54,0.98,0.43,0.58,0.74
lportal.csv,0.52,0.05,0.35,0.43,0.23,0.9,0.38,0.36,0.31,0.43,0.13,0.04
metacosm.csv,0.45,0.55,0.32,0.12,0.25,0.32,0.28,0.27,0.18,0.17,0.28,1.0
mplayer-ce.csv,0.74,0.64,0.63,0.72,0.55,0.6,0.69,0.63,0.69,0.74,0.95,0.41
openmeetings.csv,0.29,0.91,0.29,0.4,0.21,0.43,0.06,0.18,0.34,0.22,0.59,0.33
qgis.csv,0.39,0.59,0.98,0.44,0.4,0.77,0.22,0.52,0.45,0.43,0.6,0.52
skia.csv,0.42,0.73,0.08,0.13,0.35,0.33,0.22,0.25,0.31,1.0,0.2,0.07
wxcrp.csv,0.87,0.68,0.33,0.67,0.55,0.63,0.25,0.29,0.34,0.43,0.57,0.44
yafdotnet.csv,0.58,0.5,0.49,0.56,0.95,0.61,0.66,0.63,0.56,0.57,0.64,0.44
