,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.78,0.81,0.95,0.47,0.46,0.7,0.93,0.79,0.43,0.88,0.47,0.48
gmerlin.csv,0.58,0.84,0.88,0.64,0.77,0.52,0.67,0.64,0.98,0.63,0.67,0.8
google-gears.csv,0.41,0.5,0.4,0.4,0.41,0.84,0.38,0.49,0.39,0.37,0.38,0.46
gstreamer.csv,0.52,0.45,0.5,0.58,0.49,0.49,0.39,0.5,0.45,0.5,0.36,0.41
lportal.csv,0.66,0.5,0.75,0.64,0.94,0.99,0.77,0.86,0.75,0.64,0.99,0.8
metacosm.csv,0.5,0.71,0.61,0.96,0.91,0.83,0.75,0.55,0.98,0.9,0.62,0.52
mplayer-ce.csv,0.55,0.54,0.47,0.45,0.54,0.55,0.44,0.62,0.46,0.43,0.6,0.69
openmeetings.csv,0.92,0.95,0.71,0.67,0.97,0.73,0.91,0.9,0.66,0.77,0.52,0.64
qgis.csv,0.55,0.76,0.56,0.55,0.64,0.48,0.69,0.55,0.64,0.56,0.57,0.52
skia.csv,0.53,0.5,0.94,0.97,0.66,0.65,0.82,0.66,0.66,0.61,0.75,0.83
wxcrp.csv,0.64,0.53,0.65,0.42,0.59,0.56,0.88,0.65,0.74,0.52,0.43,0.64
yafdotnet.csv,0.49,0.48,0.52,0.57,0.56,0.54,0.48,0.51,0.52,0.46,0.48,0.64
