,maidsafe-dht.csv,atlc.csv,theresa.csv,playerstage.csv,knowledge.csv,gnukeda.csv,enlightenment.csv,boost-sandbox.csv,yaprm.csv,kowari.csv,fceugc.csv,proftp.csv,jaolt.csv,tcvp.csv,dspace-gsoc.csv,lufa-lib.csv,xapian.csv,pixel-commandos.csv,uwom.csv
atlc.csv,0.61,0.31,0.74,0.85,0.67,0.66,0.65,0.84,0.83,0.86,0.61,0.93,0.69,0.72,0.78,0.95,0.52,0.26,0.55
boost-sandbox.csv,0.62,0.62,0.62,0.68,0.88,0.6,0.77,0.53,0.78,0.86,0.82,0.99,0.79,1.0,0.71,0.71,0.89,1.17,0.92
dspace-gsoc.csv,0.59,0.93,0.38,0.71,0.37,0.5,0.75,0.93,0.81,0.74,0.73,0.68,0.87,0.88,0.43,0.76,0.68,0.68,0.56
enlightenment.csv,0.98,0.97,1.0,1.0,1.0,1.0,0.49,1.0,1.0,1.0,0.93,1.0,1.0,0.93,1.0,0.99,0.99,0.89,0.98
fceugc.csv,0.61,0.52,0.65,0.72,0.48,0.6,0.7,0.64,0.8,0.76,0.42,0.59,0.65,0.75,0.63,0.86,0.67,0.22,0.74
gnukeda.csv,0.93,0.68,0.62,0.93,0.56,0.35,0.67,0.81,0.86,0.76,0.96,0.95,0.77,0.9,0.74,0.78,0.69,0.63,0.5
jaolt.csv,0.47,0.93,0.3,0.59,0.57,0.63,0.76,0.79,0.57,0.86,0.52,0.46,0.54,0.9,0.96,0.89,0.54,0.36,0.42
knowledge.csv,0.82,0.48,0.62,0.84,0.15,0.44,0.65,0.79,0.84,1.0,0.67,0.58,0.76,1.06,0.9,0.69,0.46,0.6,0.62
kowari.csv,0.56,0.6,0.44,0.7,0.81,0.73,0.8,0.62,0.7,0.37,0.83,0.69,0.71,0.76,0.5,0.88,0.74,0.67,0.94
lufa-lib.csv,0.79,0.66,0.92,0.63,0.89,0.75,0.66,0.62,0.83,0.75,0.68,0.81,0.71,0.69,0.81,0.45,0.77,0.91,0.64
maidsafe-dht.csv,0.38,0.32,0.28,0.86,0.8,0.68,0.77,0.8,0.81,0.71,0.61,0.59,0.63,0.88,0.77,0.95,0.62,0.34,0.6
pixel-commandos.csv,0.87,0.73,1.01,0.86,0.73,0.75,0.88,0.82,0.75,1.0,0.65,0.87,0.85,0.8,0.95,0.68,0.92,0.07,0.76
playerstage.csv,0.67,0.58,0.78,0.37,0.5,0.55,0.51,0.6,0.83,0.58,0.64,0.75,0.63,0.8,0.7,0.62,0.66,0.46,0.64
proftp.csv,0.86,1.0,0.68,0.92,0.88,0.68,0.98,0.88,0.67,0.73,0.63,0.37,1.0,1.0,1.0,1.0,0.64,0.75,0.77
tcvp.csv,1.0,0.98,1.0,1.0,1.0,0.98,0.94,0.92,1.0,1.0,1.0,1.0,0.99,0.28,1.0,0.99,1.0,1.04,0.97
theresa.csv,0.5,0.76,0.26,0.58,0.66,0.72,0.66,0.86,0.64,0.67,0.85,0.47,0.67,1.0,0.86,0.89,0.58,0.6,0.57
uwom.csv,0.75,0.64,1.0,0.46,0.73,0.56,0.63,0.71,1.0,0.69,0.6,0.58,0.62,0.87,0.78,0.55,1.0,0.35,0.3
xapian.csv,0.71,0.53,0.94,0.96,1.0,0.82,0.6,0.87,0.7,1.0,0.55,0.95,0.59,1.01,0.54,0.82,0.33,0.36,0.76
yaprm.csv,0.8,1.0,0.4,0.79,0.9,0.62,0.94,0.86,0.45,0.88,0.68,0.43,0.86,1.0,1.0,1.0,0.73,0.34,0.67
