,google-collections.csv,dsworkbench.csv,autofac.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,exist.csv,octet.csv,jchassis.csv,ambulant.csv,coot.csv,emono.csv,thedata.csv
ambulant.csv,0.84,0.9,0.71,0.77,0.72,0.67,0.81,0.8,0.64,0.42,0.61,0.69,1.01
autofac.csv,0.74,0.9,0.31,0.73,0.46,0.81,0.65,0.64,0.74,0.6,0.57,0.68,0.8
coot.csv,1.02,1.0,0.86,0.8,0.89,0.73,1.0,0.96,0.88,0.61,0.4,0.7,0.8
dsworkbench.csv,0.9,0.35,0.68,0.66,0.94,0.75,0.6,0.86,1.0,0.88,0.87,0.74,1.01
emono.csv,1.06,0.87,0.87,0.89,0.91,0.84,0.81,1.05,0.98,0.61,0.61,0.48,0.57
exist.csv,0.62,0.76,0.88,0.61,0.79,0.81,0.34,0.78,1.13,0.61,0.74,0.58,0.66
freelords.csv,0.53,0.81,0.6,0.53,0.41,0.9,0.89,0.67,1.03,0.99,0.84,0.98,0.94
google-collections.csv,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jchassis.csv,0.97,1.0,1.0,1.0,1.0,0.98,1.0,1.0,0.08,1.0,1.0,1.0,1.0
jpaul.csv,0.75,0.89,0.7,0.97,0.35,0.91,0.93,0.61,0.26,0.98,0.97,1.0,1.01
neodatis-odb.csv,1.05,0.65,0.72,0.73,0.84,0.41,0.7,0.8,0.71,0.72,0.46,0.69,0.75
octet.csv,0.81,0.67,0.66,0.72,0.8,0.57,0.87,0.33,1.02,0.73,0.65,0.78,0.83
thedata.csv,1.02,0.56,0.81,0.86,0.88,0.73,0.7,0.84,1.09,0.57,0.6,0.67,0.05
