,graphmak.csv,pdfedit.csv,hazelcast.csv,betoffice.csv,tart.csv,jrdf.csv,elvishrayrenderer.csv
betoffice.csv,0.78,0.45,0.49,0.57,0.53,0.54,0.5
elvishrayrenderer.csv,0.35,0.4,0.38,0.9,0.43,0.4,0.37
graphmak.csv,0.48,0.47,0.72,0.47,0.43,0.6,0.51
hazelcast.csv,0.37,0.37,0.33,0.37,0.34,0.31,0.32
jrdf.csv,0.75,0.62,0.57,0.67,0.95,0.55,0.89
pdfedit.csv,0.56,0.48,0.51,0.82,0.51,0.48,0.47
tart.csv,0.48,0.52,0.5,0.45,0.65,0.39,0.44
