,gtad.csv,wgs-assembler.csv,nh3d.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,tokratan.csv,mvnforum.csv,myfaces.csv,ogrehg.csv,m-a-d-n-e-s-s.csv,lcfizvtop.csv,gusanos.csv,pydev.csv,mediaportal.csv,free-evolution.csv,pnotepad.csv,cme.csv
blogentis.csv,0.51,0.5,0.8,0.49,0.96,0.49,0.4,0.65,0.92,0.34,0.9,0.65,0.73,0.52,0.6,0.37,0.43,0.54,0.47,0.35
cme.csv,0.0,0.92,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.98,0.75,0.0,0.83
free-evolution.csv,0.47,0.32,0.97,0.5,0.55,0.37,0.65,0.4,0.57,0.31,0.44,0.56,0.52,0.83,0.42,0.34,0.39,0.61,0.44,0.41
gtad.csv,0.71,0.31,0.34,0.86,0.62,0.37,0.8,0.6,0.62,0.45,0.67,0.71,0.79,0.83,0.79,0.36,0.82,0.68,0.64,0.73
gusanos.csv,0.36,0.86,0.35,0.4,0.5,0.38,0.44,0.87,0.48,0.39,0.43,0.42,0.37,0.41,0.4,0.33,0.39,0.45,0.41,0.32
kaffeine.csv,0.34,0.94,0.39,0.38,0.44,0.33,0.5,0.36,0.45,0.32,0.42,0.46,0.37,0.39,0.37,0.35,0.36,0.44,0.38,0.37
lcfizvtop.csv,0.47,0.3,0.37,0.4,0.48,0.34,0.35,0.44,0.51,0.41,0.45,0.41,0.88,0.6,0.42,0.33,0.34,0.48,0.54,0.35
m-a-d-n-e-s-s.csv,0.5,0.3,0.51,0.83,0.95,0.55,0.62,0.46,0.89,0.89,0.97,0.85,0.6,0.75,0.67,0.39,0.83,0.93,0.88,0.5
m-m-m.csv,0.43,0.57,0.47,0.55,0.43,0.41,0.68,0.43,0.41,0.37,0.46,0.54,0.68,0.45,0.45,0.38,0.41,0.51,0.5,0.53
mediaportal.csv,0.75,0.93,0.51,0.67,0.92,0.91,0.5,0.41,0.77,0.75,0.93,0.98,0.88,0.8,0.95,0.73,0.54,0.75,0.86,0.64
mvnforum.csv,0.5,0.96,0.81,0.88,0.86,0.42,0.88,0.39,0.69,0.58,0.68,0.95,0.95,0.93,0.53,0.93,0.99,0.94,0.72,0.95
myfaces.csv,0.42,0.37,0.49,0.75,0.51,0.37,0.47,0.39,0.57,0.3,0.58,0.52,0.47,0.53,0.5,0.36,0.45,0.55,0.45,0.33
nh3d.csv,0.34,0.52,0.83,0.4,0.41,0.38,0.56,0.37,0.41,0.31,0.42,0.97,0.39,0.39,0.42,0.36,0.0,0.45,0.41,0.39
ogrehg.csv,0.5,0.7,0.51,0.73,0.5,0.39,0.83,0.4,0.47,0.33,0.52,0.54,0.48,0.56,0.51,0.43,0.45,0.67,0.61,0.47
pnotepad.csv,0.35,0.37,0.42,0.38,0.43,0.37,0.56,0.38,0.41,0.32,0.39,0.44,0.39,0.45,0.4,0.34,0.34,0.43,0.4,0.39
pydev.csv,0.56,0.35,0.39,0.53,0.72,0.42,0.62,0.53,0.75,0.52,0.58,0.47,0.46,0.5,0.54,0.46,0.5,0.51,0.5,0.36
sarasvati.csv,0.58,0.94,0.96,0.8,0.71,0.53,0.64,0.8,0.45,0.64,0.59,0.87,0.91,0.56,0.92,0.43,0.47,0.93,0.88,0.56
taokgame.csv,0.88,0.83,0.0,0.8,0.97,0.94,0.5,0.94,0.85,0.81,0.76,0.97,0.5,0.86,0.8,0.87,0.98,0.91,0.86,0.71
tokratan.csv,0.38,0.37,0.51,0.77,0.97,0.39,0.5,0.39,0.68,0.37,0.59,0.48,0.46,0.6,0.5,0.44,0.44,0.75,0.48,0.45
wgs-assembler.csv,0.47,0.56,0.51,0.58,0.41,0.41,0.78,0.54,0.41,0.41,0.46,0.57,0.44,0.67,0.45,0.38,0.55,0.49,0.58,0.52
