,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,codepurge.csv,jcl.csv,gmerlin.csv,quantlib.csv
chipster.csv,0.0,0.48,0.28,0.0,0.96,0.59,1.0,0.0,0.0,0.72,0.23,0.06,0.58,0.62,0.14,0.0,0.0
codepurge.csv,0.83,0.81,0.72,0.44,0.85,0.52,1.0,0.79,0.06,0.64,0.27,0.67,0.58,0.71,0.57,0.47,0.12
fontforge.csv,0.95,0.9,0.93,1.0,1.0,0.76,1.0,0.75,0.94,1.0,0.72,0.94,0.73,0.96,1.0,0.88,0.96
gmerlin.csv,0.0,0.94,0.9,1.0,0.0,0.88,1.0,0.0,0.94,0.0,0.97,1.0,1.0,1.0,0.0,0.66,0.58
hatari.csv,0.66,0.81,0.59,0.76,0.83,0.59,1.0,0.88,0.94,0.9,0.53,0.94,0.62,0.54,0.93,0.44,0.46
jaolt.csv,0.78,0.77,0.41,0.6,0.03,0.47,1.0,0.67,0.72,0.0,0.9,0.61,0.74,0.38,0.29,0.53,0.5
jcl.csv,0.88,0.58,0.69,0.4,0.78,0.53,1.0,0.67,0.61,0.72,0.65,0.22,0.44,0.5,0.71,0.59,0.71
ltp.csv,0.24,0.71,0.86,0.8,0.78,0.8,0.0,0.96,0.67,0.46,0.66,0.72,0.71,0.88,0.71,0.25,0.75
mia.csv,0.54,0.16,0.52,0.68,0.06,0.24,1.0,0.83,0.44,0.92,0.4,0.67,0.16,0.0,0.21,0.44,0.25
net-snmp.csv,0.68,0.48,0.48,0.44,0.6,0.53,1.0,1.0,1.0,0.38,0.64,0.72,0.38,0.29,0.14,0.34,0.12
opde.csv,1.0,0.45,1.0,0.48,0.98,0.52,1.0,0.29,0.72,0.0,0.52,0.94,0.67,0.83,0.64,0.53,0.38
oppna-program-hsatools.csv,0.88,0.68,0.79,1.0,0.91,0.58,1.0,0.92,0.89,0.95,0.84,1.0,0.73,0.17,0.64,0.44,0.42
powerfolder-.csv,0.54,0.74,0.14,0.48,0.13,0.29,1.0,0.38,0.67,0.41,0.53,0.61,0.44,0.04,0.57,0.41,0.25
qlc.csv,0.0,0.87,0.0,0.52,0.5,0.55,1.0,0.0,0.78,0.23,0.27,0.78,0.37,0.5,0.57,0.0,0.5
quantlib.csv,1.0,0.06,0.14,0.0,1.0,0.18,0.0,1.0,0.06,1.0,0.07,0.28,0.04,0.0,1.0,0.94,0.67
tcl.csv,0.51,0.81,0.66,0.84,0.69,0.62,0.0,0.0,0.61,0.74,0.7,0.5,0.89,0.33,0.0,0.19,0.75
