,dxengine.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,haggle.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,wsmt.csv,nunit.csv
dxengine.csv,0.47,0.62,0.71,0.71,0.72,0.93,0.84,0.66,0.63,0.53,0.63,0.62,0.64,0.39,0.63
e-bio-flow.csv,0.73,0.59,0.47,0.48,0.43,0.57,0.43,0.94,0.75,0.43,0.38,0.98,0.73,0.75,0.64
haggle.csv,0.5,0.88,0.82,0.74,0.74,0.45,0.54,0.95,0.69,0.0,0.69,0.75,0.67,0.5,0.63
hannosset.csv,0.86,0.82,0.91,0.98,0.91,0.89,0.83,0.0,0.83,0.8,0.81,0.99,0.96,0.0,0.7
jas.csv,0.41,0.61,0.93,0.59,0.55,0.46,0.54,0.46,0.86,0.45,0.45,0.46,0.7,0.51,0.97
jbpm.csv,0.5,0.86,0.5,0.77,0.8,0.89,0.86,0.67,0.8,0.0,0.0,0.5,0.88,0.89,0.8
jgossipforum.csv,0.43,0.46,0.86,0.82,0.71,0.45,0.48,0.95,0.83,0.41,0.39,0.44,0.67,0.39,0.76
joustsim.csv,0.44,0.43,0.59,0.6,0.6,0.5,0.47,0.58,0.56,0.46,0.35,0.47,0.48,0.45,0.42
log4net.csv,0.93,0.92,0.57,0.71,0.94,0.93,0.49,0.5,0.38,0.46,0.36,0.79,0.93,0.48,0.53
madman.csv,0.75,0.55,0.83,0.76,0.69,0.53,0.74,0.74,0.69,0.48,0.65,0.59,0.63,0.44,0.71
ngl.csv,0.43,0.47,0.39,0.45,0.46,0.49,0.34,0.48,0.32,0.38,0.39,0.45,0.46,0.34,0.43
nunit.csv,0.62,0.74,0.62,0.47,0.58,0.7,0.45,0.56,0.93,0.63,0.63,0.81,0.57,0.49,0.65
piccolo2d.csv,0.92,0.46,0.47,0.61,0.84,0.45,0.5,0.0,0.39,0.42,0.34,0.57,0.83,0.36,0.71
sblim.csv,0.9,0.54,0.7,0.88,0.92,0.93,0.63,0.94,0.8,0.47,0.77,0.57,0.83,0.65,0.94
wsmt.csv,0.8,0.86,0.91,0.92,0.94,0.88,0.88,0.5,0.79,0.0,0.0,0.97,0.82,0.62,0.73
