,moviesandbox.csv,libtorrent.csv,sigil.csv,xbg.csv,xtreemfs.csv,crux-framework.csv
crux-framework.csv,0.2,0.11,0.14,0.02,0.08,0.1
libtorrent.csv,0.86,0.33,0.68,0.65,0.9,1.0
moviesandbox.csv,0.46,0.06,0.35,0.53,0.31,0.62
sigil.csv,0.49,0.17,0.24,0.36,0.46,0.84
xbg.csv,0.2,0.33,0.41,0.29,0.16,0.09
xtreemfs.csv,0.66,0.11,0.27,0.25,0.23,0.62
