,pf
kml.csv,0.03
unicase.csv,0.2
zoolib.csv,0.17
ontopia.csv,0.07
repositorium.csv,0.2
pgui.csv,0.39
ultimairis.csv,0.06
galaxium.csv,0.06
sigil.csv,0.19
ardour.csv,0.24
aten.csv,0.0
irplus.csv,0.14
xfce.csv,0.27
projecteqemu.csv,0.29
personalaccess.csv,0.08
pcsx2.csv,0.22
multitude.csv,0.12
virtuoso.csv,0.39
jrdf.csv,0.14
runuomondains.csv,0.25
jgossipforum.csv,0.0
ingex.csv,0.48
papertoolkit.csv,0.12
modplug.csv,0.0
xcmetadataservicestoolkit.csv,0.4
bionote.csv,0.04
openfrag.csv,0.09
super-tux.csv,0.2
uclmda.csv,0.83
glas.csv,0.05
itext.csv,0.03
pydev.csv,0.32
octet.csv,0.31
powerfolder.csv,0.21
auber.csv,0.13
rebecca-aiml.csv,0.4
dataobjectsdotnet.csv,0.14
jparsec.csv,0.13
twostep.csv,0.0
xbg.csv,0.05
joustsim.csv,0.18
ofbiz.csv,0.26
kftpgrabber.csv,0.21
smartgwt.csv,0.18
img-browse-sort.csv,0.34
adobe-source.csv,0.34
ibatisdb.csv,0.37
fido.csv,0.23
gdis.csv,0.08
madman.csv,0.2
soar.csv,0.52
lufa-lib.csv,0.33
somap.csv,0.67
netatalk.csv,0.08
google-web-toolkit.csv,0.25
megameknet.csv,0.11
power-architect.csv,0.36
enzo.csv,0.2
lite.csv,0.15
hannosset.csv,0.23
lportal.csv,0.4
geotools.csv,0.3
xined.csv,0.42
reaper3d.csv,0.22
openmsx.csv,0.04
loki-lib.csv,0.04
lphant.csv,0.24
ns-3-dev-def-routing.csv,0.36
wxcode.csv,0.09
