,ifa
kml.csv,1.0
unicase.csv,1.0
zoolib.csv,5.0
ontopia.csv,0.0
repositorium.csv,1.0
pgui.csv,1.0
ultimairis.csv,0.0
galaxium.csv,0.0
sigil.csv,0.0
ardour.csv,1.0
aten.csv,0.0
irplus.csv,2.0
xfce.csv,1.0
projecteqemu.csv,0.0
personalaccess.csv,0.0
pcsx2.csv,0.0
multitude.csv,6.0
virtuoso.csv,2.0
jrdf.csv,73.0
runuomondains.csv,10.0
jgossipforum.csv,224.0
ingex.csv,2.0
papertoolkit.csv,62.0
modplug.csv,0.0
xcmetadataservicestoolkit.csv,0.0
bionote.csv,0.0
openfrag.csv,1.0
super-tux.csv,0.0
uclmda.csv,3.0
glas.csv,2.0
itext.csv,1.0
pydev.csv,0.0
octet.csv,0.0
powerfolder.csv,10.0
auber.csv,1.0
rebecca-aiml.csv,32.0
dataobjectsdotnet.csv,1.0
jparsec.csv,1.0
twostep.csv,0.0
xbg.csv,2.0
joustsim.csv,4.0
ofbiz.csv,0.0
kftpgrabber.csv,1.0
smartgwt.csv,1.0
img-browse-sort.csv,0.0
adobe-source.csv,0.0
ibatisdb.csv,13.0
fido.csv,5.0
gdis.csv,0.0
madman.csv,4.0
soar.csv,1.0
lufa-lib.csv,1.0
somap.csv,0.0
netatalk.csv,2.0
google-web-toolkit.csv,1.0
megameknet.csv,5.0
power-architect.csv,0.0
enzo.csv,4.0
lite.csv,0.0
hannosset.csv,11.0
lportal.csv,118.0
geotools.csv,17.0
xined.csv,0.0
reaper3d.csv,4.0
openmsx.csv,1.0
loki-lib.csv,0.0
lphant.csv,0.0
ns-3-dev-def-routing.csv,0.0
wxcode.csv,0.0
