,f1
kml.csv,0.32
unicase.csv,0.51
zoolib.csv,0.24
ontopia.csv,0.12
repositorium.csv,0.19
pgui.csv,0.52
ultimairis.csv,0.39
galaxium.csv,0.43
sigil.csv,0.74
ardour.csv,0.7
aten.csv,0.48
irplus.csv,0.45
xfce.csv,0.61
projecteqemu.csv,0.6
personalaccess.csv,0.51
pcsx2.csv,0.64
multitude.csv,0.43
virtuoso.csv,0.5
jrdf.csv,0.0
runuomondains.csv,0.3
jgossipforum.csv,0.0
ingex.csv,0.53
papertoolkit.csv,0.0
modplug.csv,0.61
xcmetadataservicestoolkit.csv,0.54
bionote.csv,0.57
openfrag.csv,0.61
super-tux.csv,0.46
uclmda.csv,0.01
glas.csv,0.18
itext.csv,0.33
pydev.csv,0.6
octet.csv,0.3
powerfolder.csv,0.23
auber.csv,0.51
rebecca-aiml.csv,0.2
dataobjectsdotnet.csv,0.38
jparsec.csv,0.31
twostep.csv,0.27
xbg.csv,0.31
joustsim.csv,0.43
ofbiz.csv,0.47
kftpgrabber.csv,0.63
smartgwt.csv,0.53
img-browse-sort.csv,0.56
adobe-source.csv,0.42
ibatisdb.csv,0.28
fido.csv,0.07
gdis.csv,0.57
madman.csv,0.43
soar.csv,0.53
lufa-lib.csv,0.52
somap.csv,0.58
netatalk.csv,0.58
google-web-toolkit.csv,0.46
megameknet.csv,0.55
power-architect.csv,0.63
enzo.csv,0.29
lite.csv,0.17
hannosset.csv,0.09
lportal.csv,0.15
geotools.csv,0.38
xined.csv,0.44
reaper3d.csv,0.06
openmsx.csv,0.14
loki-lib.csv,0.49
lphant.csv,0.64
ns-3-dev-def-routing.csv,0.55
wxcode.csv,0.53
