,pd
kml.csv,0.19
unicase.csv,0.37
zoolib.csv,0.39
ontopia.csv,0.07
repositorium.csv,0.27
pgui.csv,0.7
ultimairis.csv,0.28
galaxium.csv,0.31
sigil.csv,0.67
ardour.csv,0.64
aten.csv,0.32
irplus.csv,0.36
xfce.csv,0.49
projecteqemu.csv,0.58
personalaccess.csv,0.35
pcsx2.csv,0.52
multitude.csv,0.31
virtuoso.csv,0.76
jrdf.csv,0.0
runuomondains.csv,0.5
jgossipforum.csv,0.0
ingex.csv,0.66
papertoolkit.csv,0.0
modplug.csv,0.44
xcmetadataservicestoolkit.csv,0.42
bionote.csv,0.5
openfrag.csv,0.47
super-tux.csv,0.3
uclmda.csv,0.01
glas.csv,0.11
itext.csv,0.21
pydev.csv,0.69
octet.csv,0.57
powerfolder.csv,0.8
auber.csv,0.37
rebecca-aiml.csv,0.22
dataobjectsdotnet.csv,0.28
jparsec.csv,0.22
twostep.csv,0.15
xbg.csv,0.25
joustsim.csv,0.55
ofbiz.csv,0.34
kftpgrabber.csv,0.67
smartgwt.csv,0.57
img-browse-sort.csv,0.77
adobe-source.csv,0.67
ibatisdb.csv,0.33
fido.csv,0.25
gdis.csv,0.4
madman.csv,0.62
soar.csv,0.52
lufa-lib.csv,0.51
somap.csv,0.43
netatalk.csv,0.5
google-web-toolkit.csv,0.35
megameknet.csv,0.52
power-architect.csv,0.5
enzo.csv,0.18
lite.csv,0.13
hannosset.csv,0.17
lportal.csv,0.8
geotools.csv,0.41
xined.csv,0.8
reaper3d.csv,0.12
openmsx.csv,0.08
loki-lib.csv,0.34
lphant.csv,0.64
ns-3-dev-def-routing.csv,0.59
wxcode.csv,0.71
