,pci_20
kml.csv,0.88
unicase.csv,0.54
zoolib.csv,0.99
ontopia.csv,0.83
repositorium.csv,0.8
pgui.csv,0.49
ultimairis.csv,0.95
galaxium.csv,0.94
sigil.csv,0.48
ardour.csv,0.41
aten.csv,0.53
irplus.csv,0.67
xfce.csv,0.45
projecteqemu.csv,0.47
personalaccess.csv,0.58
pcsx2.csv,0.47
multitude.csv,0.7
virtuoso.csv,0.4
jrdf.csv,0.88
runuomondains.csv,0.53
jgossipforum.csv,0.0
ingex.csv,0.37
papertoolkit.csv,0.86
modplug.csv,0.5
xcmetadataservicestoolkit.csv,0.48
bionote.csv,0.83
openfrag.csv,0.67
super-tux.csv,0.53
uclmda.csv,0.83
glas.csv,0.86
itext.csv,0.88
pydev.csv,0.43
octet.csv,0.45
powerfolder.csv,0.67
auber.csv,0.59
rebecca-aiml.csv,0.8
dataobjectsdotnet.csv,0.69
jparsec.csv,0.84
twostep.csv,0.75
xbg.csv,0.8
joustsim.csv,0.47
ofbiz.csv,0.54
kftpgrabber.csv,0.45
smartgwt.csv,0.66
img-browse-sort.csv,0.43
adobe-source.csv,0.45
ibatisdb.csv,0.63
fido.csv,0.88
gdis.csv,0.5
madman.csv,0.53
soar.csv,0.34
lufa-lib.csv,0.59
somap.csv,0.46
netatalk.csv,0.6
google-web-toolkit.csv,0.58
megameknet.csv,0.62
power-architect.csv,0.41
enzo.csv,0.83
lite.csv,0.88
hannosset.csv,0.71
lportal.csv,0.46
geotools.csv,0.59
xined.csv,0.42
reaper3d.csv,0.74
openmsx.csv,0.89
loki-lib.csv,0.67
lphant.csv,0.41
ns-3-dev-def-routing.csv,0.54
wxcode.csv,0.83
